update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,137,8170,198.87392280065666,41,0.18954151488133592,0.3209646013637133,0.0,0.9859374761581421,0.29927007299270075,52.64963503649635,19.93038660151327,1.0,64.0,1.9397190943779823,0.23890992102373934,-0.8959264081235088,9.0939131940462,3.631632855530906,1.6588953211903572
2,273,16361,188.2364810418073,84,0.0912683818160611,0.22003752703354537,0.0,0.971875011920929,0.17647058823529413,58.76470588235294,13.272724848858083,2.0,64.0,1.923096939868622,0.2574779167198288,-0.5078608114239809,4.792905868031909,1.8693612263674497,1.2615767568349838
3,419,24530,187.3421908208494,128,0.18100385286220133,0.3014157241769375,0.0,0.971875011920929,0.3219178082191781,53.417808219178085,18.60982096345871,2.0,64.0,1.9076969212921848,0.44020248776419624,-0.8464787538785956,9.0509020797328,3.6598953133129055,2.054448612034321
4,566,32711,187.56944472102552,171,0.16795280692325967,0.30277816694580834,0.0,0.9859374761581421,0.2857142857142857,54.08843537414966,18.77685837612661,1.0,64.0,1.8979949245912173,0.7446806501051191,-0.4732764025279461,7.929699201126127,3.472593342233529,1.369430735707283
5,714,40892,188.2623259557956,215,0.1502639367370992,0.2815290134660742,0.0,0.971875011920929,0.2702702702702703,55.236486486486484,17.316747668583293,2.0,64.0,1.8758863007988793,0.8173308661012891,-0.26728635662027106,6.8514078119679755,3.139658375017189,1.1337663307785988
6,873,49072,188.61298860755102,258,0.21105542502500726,0.32458059508064135,0.0,0.971875011920929,0.3584905660377358,51.540880503144656,20.185224728447334,2.0,64.0,1.8470892566923407,1.0346805669276231,-0.5883477879585676,9.5456400061723,4.166001209361629,1.5363339632749557
7,1036,57246,188.05125281026565,302,0.21179064486655721,0.3045900386619762,0.0,0.957812488079071,0.3803680981595092,51.644171779141104,18.6638592993505,3.0,64.0,1.8040138435503776,1.17962607189353,-0.6556396686695544,11.062547136463202,4.857593735185497,1.9489300847053528
8,1183,65423,188.31289795250387,345,0.18103741464160739,0.2947814104291127,0.0,0.9859374761581421,0.3333333333333333,53.49659863945578,18.127055041709564,1.0,64.0,1.769480695464405,1.3183036126935337,-0.11595429985270213,7.500779373486538,3.6167406602551364,1.2397699505090714
9,1352,73596,188.41006508943326,388,0.27868897908714396,0.3535321618108797,0.0,0.9859374761581421,0.4378698224852071,47.29585798816568,22.04610648722592,1.0,64.0,1.7451800857809057,1.4285915042317572,-0.6442091333688174,13.052731760186582,5.864704691705922,1.9624429792165756
10,1507,81772,182.67694048802753,433,0.2014818551559602,0.31978877920525905,0.0,0.971875011920929,0.33548387096774196,52.05806451612903,19.824142566879573,2.0,64.0,1.7016964790989042,1.5371120149258766,-0.05466523243263801,9.148048732668498,4.502341850863044,1.1034570708870888
11,1678,89945,185.20724909912707,477,0.22796966427425194,0.3330904603245809,0.0,0.9859374761581421,0.3742690058479532,50.45029239766082,20.703183285671738,1.0,64.0,1.6174131758893031,1.6083047098560956,-0.3600041590335647,11.367038862062984,5.307341054386394,1.698289006948471
12,1843,98115,185.27208689861843,521,0.25017045442805147,0.34304429977827045,0.0,0.9859374761581421,0.4,49.054545454545455,21.340317382961054,1.0,64.0,1.5939397061323448,1.6494210522206936,-0.3212080181046244,11.517839030399827,5.421772980894278,1.5385651141405106
13,2027,106278,190.7231741659173,564,0.30822010799918487,0.36408698051560634,0.0,0.971875011920929,0.483695652173913,45.52173913043478,22.847546848084704,2.0,64.0,1.5198300523558157,1.7569573212090506,-0.6999874288809733,15.560111357358014,7.064870164920985,2.5523039549589157
14,2196,114444,191.42307277268657,607,0.28405140525490574,0.34933583063054635,0.0,0.971875011920929,0.46153846153846156,47.082840236686394,21.794201530118563,2.0,64.0,1.4188454166919673,1.8466741033783445,-0.43156646643798346,13.128088857255056,6.11828975037503,2.1578181982040405
15,2366,122607,190.73772196340286,650,0.27407169122906294,0.3359385896122153,0.0,0.9859374761581421,0.48823529411764705,47.98235294117647,21.011054101678663,1.0,64.0,1.2868458509415983,1.9756051161323387,-0.37506440206568104,11.80328068254454,5.513707884471089,2.465143606066704
16,2538,130770,191.47278359458903,692,0.28274890971045163,0.3383695993904116,0.0,0.9859374761581421,0.4883720930232558,47.366279069767444,21.102177284694537,1.0,64.0,1.2331438735173086,1.980185257429062,-0.46511196241679037,12.76126730677713,5.903189852937799,2.374572142958641
17,2718,138934,190.947773851436,735,0.3056684027943346,0.36440367690845016,0.0,0.9859374761581421,0.4777777777777778,45.66111111111111,22.8619440917504,1.0,64.0,1.1598790340246026,1.9727819074549435,-0.4212902227087181,13.991049613108213,6.562635826398671,2.5880484879016876
18,2901,147100,194.21034261901943,777,0.30674521975178537,0.3620838837598992,0.0,0.9859374761581421,0.4808743169398907,45.60655737704918,22.68357680028346,1.0,64.0,1.0777821315435576,1.956467131671443,-0.460386878871725,14.127518219396585,6.5925935160842215,2.4688938707113266
19,3088,155259,193.850143366791,819,0.3610711890586557,0.35499129342317937,0.0,0.9859374761581421,0.5989304812834224,42.58288770053476,22.426286290754327,1.0,64.0,0.9991609850618269,2.066104844733041,-0.9772397584045236,15.930822688051117,6.978180010188136,5.045037597417831
20,3267,163422,194.74500055380832,861,0.31358240286731187,0.3450016912836738,0.0,0.9859374761581421,0.5307262569832403,45.47486033519553,21.579091482875356,1.0,64.0,1.033785267815525,2.1250470093794056,-0.6645112514407315,14.432624295310992,6.541462333853976,5.138092577457428
