update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,158,10019,306.0666334831984,32,0.21514042655501184,0.3214436590617692,0.0,0.957812488079071,0.35443037974683544,51.221518987341774,19.839426102395812,3.0,64.0,1.937976679814791,0.23623176755507985,-1.118524086832687,10.197256972057025,3.960724598848126,2.0766169279813766
2,341,20077,301.31794909335395,66,0.16449795085224297,0.294308787539904,0.0,0.971875011920929,0.2786885245901639,54.28415300546448,18.115480208642115,2.0,64.0,1.920395028877979,0.3970010843410196,-0.8030900684174029,8.668431627852382,3.5119218445127633,2.0146821588277817
3,525,30133,302.606769594008,99,0.1446416444428589,0.28952736691723435,0.0,0.957812488079071,0.22282608695652173,55.29891304347826,17.859439073943975,3.0,64.0,1.9000221646391595,0.5201593895421297,-0.45935769904267443,7.440654118601848,3.241969239835049,1.8093497455120087
4,725,40174,291.49506313059504,133,0.19956249989569186,0.32158786287966645,0.0,0.9859374761581421,0.325,52.12,19.945565923282295,1.0,64.0,1.8778281459270774,0.8294303245533037,-0.6020478274042139,9.251136014661135,4.004742007962665,1.856814831495285
5,907,50230,295.7191887168861,167,0.18595466918342715,0.30529094360945197,0.0,0.9859374761581421,0.32967032967032966,53.120879120879124,18.878928986219183,1.0,64.0,1.8569145267125435,0.8875824180309414,-0.3951911500220942,8.33956569979892,3.7560227666473995,1.7509288638830185
6,1102,60274,294.51484575735685,201,0.21154647435133273,0.3260969522544017,0.0,0.9859374761581421,0.3435897435897436,51.4,20.21636808285649,1.0,64.0,1.8490128674767303,1.0860943666543206,-0.5165233204663482,9.750565182684307,4.340268832760852,2.1159743517637253
7,1287,70328,298.228711964058,235,0.17282094617147703,0.2890559534029503,0.0,0.971875011920929,0.31891891891891894,53.97837837837838,17.73283921315288,2.0,64.0,1.85059756067844,1.187213916770976,-0.2740787369457911,7.984124827593482,3.6994777032151385,1.484377145767212
8,1489,80365,293.03943695025083,269,0.22618347653510548,0.34247952733823567,0.0,0.971875011920929,0.3564356435643564,50.45049504950495,21.389365932688392,2.0,64.0,1.8535944868442937,1.3033064967360026,-0.36860356126023297,11.20817218951549,5.216946857175326,1.8842128366231918
9,1681,90411,293.5579619372531,304,0.20384928304702044,0.30145524585034067,0.0,0.9859374761581421,0.3854166666666667,52.244791666666664,18.569056753281714,1.0,64.0,1.8228222077855925,1.3383235974115322,-0.422380543605573,9.210968974201784,4.164875605418201,2.0193965137004852
10,1872,100459,296.7758357053575,337,0.19958278817656153,0.3205787264563875,0.0,0.9859374761581421,0.3193717277486911,52.07853403141361,19.831729559657067,1.0,64.0,1.8030994453817417,1.4066237775952952,-0.1381468068864671,9.383590765669831,4.535617026553791,1.5616765320301056
11,2074,110497,293.87517617273824,372,0.24084158426169122,0.34287953966885826,0.0,0.971875011920929,0.3811881188118812,49.584158415841586,21.347324513758075,2.0,64.0,1.7798889642408773,1.5220504595621052,-0.3435816424678915,11.554977187727438,5.416108485022539,2.193153351545334
12,2272,120539,290.50194535160205,406,0.21826862483614623,0.3281501818253921,0.0,0.971875011920929,0.37373737373737376,51.13636363636363,20.447928222561846,2.0,64.0,1.7541785239223655,1.4546328816036853,-0.18669996124960658,9.88240568260437,4.736961110990092,2.0219478011131287
13,2460,130589,298.2287769369652,440,0.18413397737164447,0.3040874949472056,0.0,0.971875011920929,0.3191489361702128,53.17553191489362,18.756163163929884,2.0,64.0,1.7510489734251107,1.3714672340089409,-0.08451630072214117,8.365821746096978,4.080884372084888,2.697574406862259
14,2669,140620,290.55571875229475,474,0.2526913868468344,0.3431016510848619,0.0,0.9859374761581421,0.41148325358851673,48.95693779904306,21.380424400856132,1.0,64.0,1.6764433635171276,1.4909030282833726,-0.5126193714868558,12.315068890180655,5.628150341363647,3.451913356781006
15,2877,150654,295.9640250545505,508,0.2508263216139032,0.3497036153951569,0.0,0.9859374761581421,0.3894230769230769,48.93269230769231,21.806960966572877,1.0,64.0,1.7157291981098495,1.3662228917894976,-0.41293203749040314,10.982503843528473,5.061162165823699,3.3313368558883667
16,3077,160692,291.80470921986523,543,0.25478124886751174,0.3435330847608183,0.0,0.9859374761581421,0.43,48.94,21.501079042689927,1.0,64.0,1.641777363781151,1.3607283539210546,-0.5093091680210148,10.321949731124352,4.635248214986177,4.604380011558533
17,3297,170712,289.2081240271844,577,0.30507812533866274,0.35740680894498833,0.0,0.9859374761581421,0.4818181818181818,45.731818181818184,22.33150824128497,1.0,64.0,1.6585379250273258,1.388311132556664,-0.8905454274928737,13.454241718060361,5.819990000467814,6.740707099437714
18,3514,180737,286.33094821460526,612,0.2765408986449791,0.34508774592630403,0.0,0.9859374761581421,0.4700460829493088,47.67741935483871,21.600202609866304,1.0,64.0,1.5926787173302097,1.5582700286066147,-0.6591049097942889,12.467216450888618,5.558577189837905,5.040402591228485
19,3728,190762,285.41222642082374,647,0.31361711537030257,0.35303827196390086,0.0,0.971875011920929,0.5280373831775701,45.453271028037385,22.207289439588223,2.0,64.0,1.5822706793311825,1.63917491865277,-0.8215778792625353,13.067260083266326,5.696229494622818,6.366957247257233
20,3952,200779,292.0959164408105,682,0.3106236044384007,0.3552399719309429,0.0,0.9859374761581421,0.5178571428571429,45.59375,22.345104854027873,1.0,64.0,1.502855151049734,1.5616976794242574,-0.8757114912356947,13.501707340960042,5.860114173093241,6.961965441703796
21,4168,210800,290.0337408241322,716,0.3209418402639804,0.35313140065035714,0.0,0.9859374761581421,0.5277777777777778,44.93055555555556,22.134056875444955,1.0,64.0,1.4940940408503958,1.5756214713041516,-0.9504495617985523,14.01494650859317,6.042083450924933,6.776608765125275
22,4421,220790,285.17462336802885,751,0.40219244057599735,0.36219593451832893,0.0,0.9859374761581421,0.6363636363636364,39.92490118577075,22.960145322091922,1.0,64.0,1.4159568061103096,1.7017082806225414,-1.6101874373353517,19.924052199348434,8.337679085335335,9.104009568691254
23,4679,230772,280.05655486458693,787,0.430165940419186,0.3494382255684524,0.0,0.9859374761581421,0.7015503875968992,38.39922480620155,22.320765859314985,1.0,64.0,1.3726174573911691,1.8561962130933887,-2.0227554935631304,21.6993172215546,8.8131759236939,10.058755099773407
24,4945,240746,280.33944668372965,823,0.4239779124246504,0.36364462333733366,0.0,0.9859374761581421,0.6691729323308271,38.609022556390975,23.195583772852128,1.0,64.0,1.3512061487010085,1.8686612741918966,-1.6512277448164787,20.00070897111057,8.335614002656907,9.165629982948303
25,5217,250716,281.99001040067674,858,0.4606100639930981,0.3463699333516723,0.0,0.9859374761581421,0.7352941176470589,36.474264705882355,22.20822415339817,1.0,64.0,1.3480753782878787,2.0923717309383596,-2.0744278718753826,21.91132567286372,8.86775365157974,11.673442602157593
26,5523,260652,276.639904180985,894,0.5038296567166552,0.35085076563813045,0.0,0.9859374761581421,0.7450980392156863,33.470588235294116,22.409603107120954,1.0,64.0,1.3648812411871893,2.253236914602455,-2.463110579138745,26.795946120256,10.92121265552662,16.30467140674591
27,5824,270593,273.82259676050575,930,0.5339597162861761,0.3413480552912166,0.0,0.9859374761581421,0.8106312292358804,31.794019933554818,22.242041335655575,1.0,64.0,1.2955848186167898,2.5182634498880923,-2.2952431118556667,24.192898717016273,9.788249696647721,13.240913331508636
28,6166,280493,265.5130589993161,967,0.5565652413762103,0.3230834744780003,0.0,0.9859374761581421,0.8333333333333334,30.34795321637427,21.00122480187996,1.0,64.0,1.2577622901068792,2.871700618435638,-2.940860842767388,28.988808663204463,11.540965218592172,14.930835723876953
29,6493,290405,271.3502579838125,1004,0.5596951455196838,0.31373419866154223,0.0,0.9859374761581421,0.8470948012232415,30.223241590214066,20.438518483738875,1.0,64.0,1.217898137055644,3.0697000105598455,-2.8716977983111813,26.251162151243054,10.241703849342969,15.982718467712402
30,6870,300268,261.40880265103544,1042,0.614435508076487,0.29498864519460555,0.0,0.9859374761581421,0.8912466843501327,26.644562334217508,19.425595748046927,1.0,64.0,1.185043122480018,3.5469142161940486,-3.339579019118767,30.770412255624336,12.033777200775626,21.58361518383026
31,7232,310141,268.00137943455064,1079,0.6205239978243303,0.2971430832562113,0.0,0.9859374761581421,0.8867403314917127,26.179558011049725,19.506007626018793,1.0,64.0,1.1363632761332132,3.758295785592318,-2.9535405385413336,27.44002836820119,10.755109618720248,25.371688723564148
32,7616,319997,262.3525497807828,1116,0.6209391274993928,0.3059990951807843,0.0,0.9859374761581421,0.8854166666666666,26.140625,20.166004180535495,1.0,64.0,1.0956179600257379,4.11998411045446,-2.5987451839058164,26.067722170964466,10.424160746784953,20.71251094341278
33,7985,329869,267.68510817696375,1153,0.6198678875397537,0.3018324394618268,0.0,0.9859374761581421,0.8861788617886179,26.22222222222222,19.86033741173092,1.0,64.0,1.077486301888523,4.223049492851455,-2.5339439683556075,23.472567071452907,9.191565910846332,23.16053581237793
34,8337,339759,266.20498531336534,1190,0.5881303270897743,0.305545923747352,0.0,0.9859374761581421,0.8835227272727273,28.460227272727273,20.199392653857462,1.0,64.0,1.0537309911783834,4.22032721782719,-2.193498396343119,22.083791193947633,8.837859027426694,18.434771418571472
35,8710,349627,267.68755758051077,1227,0.6170366945559154,0.3045863393046496,0.0,0.9859374761581421,0.8820375335120644,26.394101876675602,20.019499008398334,1.0,64.0,1.057509664828158,4.383152783714328,-2.3660433082975354,23.86250719480008,9.554635445695682,22.01864790916443
36,9072,359508,261.12081489412793,1265,0.5930075965286619,0.31372098592466036,0.0,0.9859374761581421,0.8535911602209945,27.900552486187845,20.401117121502345,1.0,64.0,1.0466967200885453,4.47672580077742,-2.0225036733607245,21.596423231533528,8.7652424199537,20.691848635673523
37,9436,369387,266.47697522996475,1302,0.6061727326199576,0.3064882226296802,0.0,0.9859374761581421,0.8763736263736264,27.126373626373628,20.117114987513563,1.0,64.0,1.0490459542439068,4.611128778589896,-2.0131087210547864,22.80044728880144,9.376625034005214,21.35087776184082
38,9802,379259,263.61937358279937,1339,0.6237790307915602,0.3008929475204783,0.0,0.9859374761581421,0.8825136612021858,25.918032786885245,19.721804317277353,1.0,64.0,1.065486400643276,4.684924016508909,-2.1554675439381716,21.562316826401304,8.615036233317717,19.67026937007904
39,10233,389070,256.63838436135177,1378,0.6501160090629297,0.27955508076217384,0.0,0.9859374761581421,0.925754060324826,24.352668213457076,18.70434236414284,1.0,64.0,1.051220985572402,4.9959081055471355,-2.967587688887852,25.348279571815098,9.696040019652687,21.746814489364624
40,10680,398860,254.19222018795605,1416,0.6858640949364744,0.25572957635473814,0.0,0.9859374761581421,0.9328859060402684,21.861297539149888,16.95034203078768,1.0,64.0,1.0529597573674858,5.216207582008121,-3.1895485103800056,26.797878936264926,10.198861541592185,24.509440898895264
41,11131,408651,255.88819708466104,1454,0.6868902428980148,0.2566574051862422,0.0,0.9859374761581421,0.9246119733924612,21.72949002217295,16.859994620014838,1.0,64.0,1.0335420709430179,5.375860743522157,-3.109484192336644,26.05212913135649,9.906244813476663,22.123059034347534
42,11636,418386,248.32470165585238,1494,0.7272215349544393,0.22672877287504217,0.0,0.9859374761581421,0.9683168316831683,19.172277227722773,15.433665907006196,1.0,64.0,1.0144706116251658,5.7576340454446395,-3.82606606060992,30.52610685449413,11.426842778954802,24.35569405555725
43,12106,428151,250.04100702988643,1533,0.7085738031788075,0.24116653127768853,0.0,0.9859374761581421,0.9595744680851064,20.43617021276596,16.343232388582067,1.0,64.0,0.9985687681667876,5.869846515489491,-3.1329586025787144,27.268022373597926,10.491066128232207,21.905694484710693
44,12655,437840,244.5297223547522,1572,0.7440260704369276,0.2234016215558254,0.0,0.9859374761581421,0.9635701275045537,17.94353369763206,15.05782718263094,1.0,64.0,0.9716299504167784,6.249170633867831,-3.8367513801822946,31.185885881169416,11.746474437022654,26.290284872055054
45,13187,447546,244.78719802720948,1612,0.7387922933059079,0.2090762174098779,0.0,0.9859374761581421,0.9699248120300752,18.360902255639097,14.14391037477593,1.0,64.0,0.9461144911194005,6.422004119209621,-3.728073825221835,28.466087215430168,10.49550716856841,26.11489772796631
