update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,155,10021,151.74640412578918,66,0.18337701741726167,0.31206764068564097,0.0,0.9437500238418579,0.3032258064516129,53.116129032258065,19.337062804853133,4.0,64.0,1.940622405608059,0.19613825341002775,-0.9081465513138861,8.853027888737566,3.4989610197491516,1.74650589376688
2,329,20088,144.58382335730016,135,0.1612787358034616,0.29172386833283676,0.0,0.9859374761581421,0.28735632183908044,54.57471264367816,18.01285121310539,1.0,64.0,1.925430533167645,0.33744039943583665,-0.7780133781399017,7.8065995237531665,3.1060321262579778,1.9673977345228195
3,521,30139,142.53040984788973,206,0.14217122388072312,0.2836752969392982,0.0,0.9859374761581421,0.23958333333333334,55.59375,17.515813168034764,1.0,64.0,1.890591897604869,0.5156057727786394,-0.5329091688928473,7.526391330671665,3.2113803343184135,1.7059943974018097
4,713,40188,138.55100039062197,278,0.18917643263315162,0.310549270786574,0.0,0.9859374761581421,0.3229166666666667,52.84375,19.214430408874993,1.0,64.0,1.8612728321038616,0.7548024252239466,-0.5709774267834455,8.942385204295407,3.881602899697731,1.8459799960255623
5,901,50242,141.9578752216568,349,0.17086103661580287,0.29749386010364204,0.0,0.9859374761581421,0.2978723404255319,53.96808510638298,18.35173603455865,1.0,64.0,1.8366472424677311,0.8777680827676361,-0.3749849914745614,7.70743243907611,3.4603643256104535,1.5482426881790161
6,1085,60297,142.2824475758369,420,0.18470618225958035,0.2773745280869129,0.0,0.9437500238418579,0.3804347826086957,53.57065217391305,16.888876182419715,4.0,64.0,1.7856559502076652,0.9942278478348332,-0.5117133651415932,7.621417695213311,3.281138698097961,1.8473987877368927
7,1277,70345,143.10066485646217,490,0.2111979175436621,0.3248375654684904,0.0,0.9859374761581421,0.3541666666666667,51.5,20.179403691222724,1.0,64.0,1.7373971983695486,1.134407057978545,-0.46748067682036526,9.874283797275401,4.452287321637391,1.9213339239358902
8,1479,80386,142.19954788755504,561,0.22188273610750048,0.3131339309321476,0.0,0.971875011920929,0.41089108910891087,51.14356435643565,19.387507031063112,2.0,64.0,1.7020835450013525,1.2720871210074522,-0.5289916472004748,10.13865302706681,4.523313253551065,2.153136357665062
9,1669,90434,142.04888387267027,631,0.2334210543256057,0.3338894363617018,0.0,0.9859374761581421,0.3684210526315789,50.02105263157895,20.64969934653996,1.0,64.0,1.6454066901829592,1.3980219489449908,-0.4299413127017172,11.396255413947515,5.251732164127811,2.1019009351730347
10,1885,100458,139.33100277797703,703,0.26689091459330583,0.3511505953449844,0.0,0.971875011920929,0.4351851851851852,48.11574074074074,21.988855182320904,2.0,64.0,1.6027584999728375,1.472778565581094,-0.5720989693757831,13.480257734680862,6.152002381783719,2.3162324726581573
11,2082,110500,140.1442577868515,775,0.22888642125928463,0.3277466244492576,0.0,0.9859374761581421,0.38578680203045684,50.46700507614213,20.322156088522416,1.0,64.0,1.5596401328182012,1.6115291607235087,-0.30288364594066625,10.563688051388086,4.963364124583001,1.830942302942276
12,2289,120533,138.4979500377723,847,0.25542723459466066,0.34042112744348235,0.0,0.9859374761581421,0.42995169082125606,48.893719806763286,21.240247757744743,1.0,64.0,1.5158604086069194,1.565411948378274,-0.4875532543817831,11.895350739327181,5.444963748536081,2.434160828590393
13,2497,130565,138.80337762163285,920,0.26346905006525606,0.34379829440750287,0.0,0.9859374761581421,0.4326923076923077,48.34134615384615,21.423024595123223,1.0,64.0,1.4204203937042272,1.7052888040337266,-0.4104143271469281,12.432445875265037,5.791603587270734,2.295597270131111
14,2705,140596,139.6665259956133,991,0.25923978411950743,0.3392779340337869,0.0,0.9859374761581421,0.4519230769230769,48.77884615384615,21.23470342241374,1.0,64.0,1.3409350565097562,1.7444036800546905,-0.372278622791948,11.570485384047608,5.399554496295858,2.1467520743608475
15,2913,150627,139.89846513030943,1063,0.2615309493759504,0.3335074470256878,0.0,0.9859374761581421,0.44711538461538464,48.58173076923077,20.705421365611347,1.0,64.0,1.2688058380257774,1.8093447001193579,-0.4090872701610648,12.514831128328453,5.835640130828805,3.208973318338394
16,3141,160637,136.31437855782173,1137,0.3479303733625433,0.37032996484900255,0.0,0.9859374761581421,0.5570175438596491,43.219298245614034,23.454419690461595,1.0,64.0,1.2255098221899865,1.7287898819167893,-0.8793846310093091,16.316536602873605,7.266629122830294,4.113190069794655
17,3358,170659,139.18686956762824,1209,0.30409706366776323,0.34398611234570614,0.0,0.9859374761581421,0.5207373271889401,46.07834101382488,21.530780474633133,1.0,64.0,1.0903880966325834,1.9159996715569254,-0.6879090543808849,13.994659309266714,6.2985169930839655,3.841920480132103
18,3599,180660,138.13023751744808,1281,0.3851141097078185,0.3654925679337795,0.0,0.9859374761581421,0.5975103734439834,40.863070539419084,23.041409712214758,1.0,64.0,1.1095920158808095,1.8895086913618513,-1.2326439193857515,19.79596358081148,8.65424268120063,7.861797094345093
19,3830,190669,139.33332631037527,1353,0.3382034627519129,0.35673032809979704,0.0,0.9859374761581421,0.5670995670995671,43.98268398268398,22.535583285292578,1.0,64.0,1.0484264189218686,2.1176921640770194,-0.6523810199129974,15.044653345089607,6.859461445636427,3.9394612312316895
20,4055,200685,138.77681139335547,1425,0.34522222313616013,0.35086847078505257,0.0,0.9859374761581421,0.5822222222222222,43.59111111111111,22.11267934137157,1.0,64.0,1.0046176965625142,2.184574293157163,-0.8100216341184113,15.347465893548256,6.853663874129518,5.718537867069244
21,4294,210689,138.02402600212926,1497,0.35484440369087283,0.3506475563611138,0.0,0.9859374761581421,0.5941422594142259,42.99163179916318,22.09734864191864,1.0,64.0,0.9963902143038353,2.2948107233241957,-0.806591581108599,15.655414834809227,7.011151496432677,6.860531210899353
22,4508,220713,141.33309661564581,1568,0.29341413519371334,0.3443539605277404,0.0,0.9859374761581421,0.5093457943925234,46.757009345794394,21.60254446829321,1.0,64.0,1.0108970364664234,2.245027219307299,-0.16095047597516943,12.449536453216007,6.05370889162884,7.226854890584946
23,4747,230715,137.0625338195186,1641,0.3705217049897465,0.35571907499434635,0.0,0.9859374761581421,0.6108786610878661,41.99581589958159,22.496024364327504,1.0,64.0,1.0125127978097008,2.343023597276394,-0.8183014771519864,16.357127717687376,7.350137833761373,7.173902302980423
24,4964,240739,138.48480583454267,1714,0.3121471779618395,0.3434133109677919,0.0,0.9859374761581421,0.5299539170506913,45.57142857142857,21.460835925106576,1.0,64.0,1.0049158085943315,2.483050329820309,-0.21855050350219035,13.49955241600942,6.521176617524192,13.82995218038559
25,5190,250751,137.95683192746657,1786,0.3181761616297,0.3501718513606596,0.0,0.9859374761581421,0.5353982300884956,45.18141592920354,21.980437999100758,1.0,64.0,0.9884057481242235,2.3720629653404868,-0.3456244311283171,13.66862570193473,6.4788041459623456,8.17886334657669
26,5416,260763,136.83465028689403,1860,0.3457065814759879,0.36257223834330077,0.0,0.9859374761581421,0.5530973451327433,43.349557522123895,22.825558659599054,1.0,64.0,0.9618805628798268,2.4546615877391527,-0.28750809789882675,14.43861444576789,6.922179810009239,7.13612899184227
27,5641,270779,137.32675393739513,1932,0.3119027769896719,0.3474492719051165,0.0,0.9859374761581421,0.5377777777777778,45.644444444444446,21.845473017493227,1.0,64.0,0.912789014391244,2.4475269197655942,-0.1006470055790981,12.54142652515072,6.160938445752421,7.479836076498032
28,5860,280800,137.9235313783257,2005,0.3213470327459514,0.3464712534023754,0.0,0.9859374761581421,0.5525114155251142,45.077625570776256,21.773814482120763,1.0,64.0,0.892797215900168,2.4678260600325377,-0.21822673236404205,12.86212189235191,6.203906610570926,6.844246447086334
29,6100,290801,134.60891493944047,2079,0.3513281259064873,0.36316901118775297,0.0,0.9859374761581421,0.5625,43.016666666666666,22.889766029579437,1.0,64.0,0.9003159293483799,2.6177354023440125,-0.16075884787193145,14.28342605491791,6.971950558850365,10.591691017150879
30,6335,300806,138.38061843779835,2152,0.3867420217458238,0.3593023860268228,0.0,0.971875011920929,0.6085106382978723,40.82553191489362,22.62176007680184,2.0,64.0,0.8763012364648212,3.0206234704608144,-0.20247288837485286,15.431780956853098,7.504655094327836,11.794663518667221
31,6584,310799,136.04091642436404,2225,0.39321034147318107,0.36531752899191117,0.0,0.9859374761581421,0.6305220883534136,40.52208835341366,23.231688692262594,1.0,64.0,0.8272708812466639,3.0524285769875337,-0.13926661577917107,14.652686732387705,7.178804264547684,7.414538949728012
32,6837,320785,134.89433659514222,2299,0.3967823612360144,0.36419470158979644,0.0,0.9859374761581421,0.6245059288537549,40.22529644268775,23.06291087685383,1.0,64.0,0.8110834787729004,3.0736148869754936,-0.3239106670627846,16.229478800950965,7.782717973131134,10.966497242450714
33,7059,330803,139.6045921183295,2371,0.32849099127961706,0.3508376193059701,0.0,0.9859374761581421,0.5585585585585585,44.612612612612615,22.096092831074923,1.0,64.0,0.8277455036881489,3.018436911292218,0.22152431937814782,12.909228282248243,6.667860984992639,9.39663377404213
34,7311,340791,136.10185868649626,2444,0.38942832298695096,0.35798478580544424,0.0,0.9859374761581421,0.626984126984127,40.76587301587302,22.64855600953863,1.0,64.0,0.7742223061224343,3.248522085717644,-0.24909302350141116,16.031151239555456,7.758740566805166,13.68556123971939
35,7536,350807,139.07989583988942,2516,0.3651875003510051,0.3599225508573145,0.0,0.9859374761581421,0.6,42.297777777777775,22.792108662516302,1.0,64.0,0.7450873136710816,3.115596761909156,0.28435837628599553,13.46383857778824,7.008826210095098,11.229728996753693
