update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,129,10047,166.25518068001816,60,0.012364341307056043,0.09922771254561358,0.0,0.8920000195503235,0.015503875968992248,63.35658914728682,5.291207346890613,12.0,64.0,1.9406191240771797,0.018853950169472257,-0.059575045036345836,0.6703790891635096,0.2562082965919553,0.45332958176732063
2,260,20156,168.6947139939734,120,0.013412213962496693,0.10771746301446761,0.0,0.8830000162124634,0.015267175572519083,63.229007633587784,6.192293764724347,13.0,64.0,1.9381589415000517,0.0607883094113277,-0.008792601513208058,0.647436539793809,0.29554408433140417,0.331492867320776
3,451,30205,163.92775225881974,181,0.02605235607836259,0.12706298658040155,0.0,0.7749999761581421,0.041884816753926704,63.07853403141361,5.202608080110332,25.0,64.0,1.9344357908074565,0.1284286442806086,-0.2570647875144366,2.3942633519571435,0.9207225962413083,0.9218789637088776
4,589,40307,162.4582357004501,243,0.01842028939205667,0.10806692578472077,0.0,0.7749999761581421,0.028985507246376812,63.31884057971015,4.403532026444058,25.0,64.0,1.927397534540327,0.08923372221471555,-0.04417801391697684,0.8584527799466353,0.3657744442961094,0.42145590484142303
5,773,50363,161.20718957587061,306,0.019451087259727974,0.10985869477439368,0.0,0.8740000128746033,0.03260869565217391,63.375,4.69222587858387,14.0,64.0,1.912408107848706,0.1281110118439624,-0.13189885332704301,1.554551555288352,0.6262528898228514,0.7323363497853279
6,912,60463,159.1485146349282,369,0.03807913656715009,0.13969726002694513,0.0,0.7839999794960022,0.07194244604316546,63.15827338129496,4.374976247098118,24.0,64.0,1.890318834026261,0.18874073743967726,-0.23679088901198184,2.2207110626745097,0.854661297184406,0.9849220514297485
7,1094,70522,155.12006650133642,434,0.02169780187554412,0.1110708690046608,0.0,0.8019999861717224,0.038461538461538464,63.4010989010989,3.995684334117359,22.0,64.0,1.8572940698425129,0.2718655784284871,-0.04330822127611141,1.756013504409936,0.8161256545366712,0.5795228891074657
8,1240,80615,153.52876763040723,500,0.03376712374491234,0.15111263525345164,0.0,0.8199999928474426,0.04794520547945205,62.50684931506849,6.830879298523191,20.0,64.0,1.8663763238832591,0.18264568472102272,-0.03956457443805137,2.0160420109463617,0.9497927513867129,0.594469029456377
9,1414,90680,148.89629409440533,567,0.040097701309741225,0.15978702420564453,0.0,0.9190000295639038,0.06321839080459771,62.52298850574713,7.3074548795021546,9.0,64.0,1.8402189578337274,0.17826778031200896,-0.18645844012924498,2.6870576893273346,1.138668200156017,0.6636077836155891
10,1562,100772,149.6079763048827,635,0.027898648904787528,0.1268004259993601,0.0,0.7929999828338623,0.0472972972972973,63.12837837837838,4.499670266306016,23.0,64.0,1.7908072517922697,0.17207699378024383,-0.1349250918618406,1.8792180916210663,0.7867758528278123,0.6374987624585629
11,1735,110838,146.75207506433824,703,0.04210404664105763,0.15576056566558116,0.0,0.7570000290870667,0.06936416184971098,62.589595375722546,5.707646869267236,27.0,64.0,1.7785240651219165,0.2810488148899029,-0.2063801858981062,3.0565311498702212,1.3041001230259195,0.7398401126265526
12,1891,120922,147.55852091784726,772,0.06160256495842567,0.18790401823671327,0.0,0.9100000262260437,0.10256410256410256,61.98717948717949,7.8364591522388105,10.0,64.0,1.7309109597204224,0.34435916729552174,-0.2647081522778259,3.7646795597116918,1.6003224283208548,1.0862602107226849
13,2059,131006,147.103732550971,840,0.04072619069899831,0.1575729883384774,0.0,0.8289999961853027,0.06547619047619048,62.55952380952381,6.624901060314555,19.0,64.0,1.7381292184824415,0.46618683193468563,0.02772432827833672,2.916477396936466,1.4685815904217077,0.5797190070152283
14,2216,141090,146.35100136585717,909,0.07314649660875842,0.20780817929165876,0.0,0.8740000128746033,0.11464968152866242,61.27388535031847,8.968885682277364,14.0,64.0,1.737372378894423,0.47933795131988255,-0.23801977776518504,4.485706572716436,1.9874597206705857,0.8727084919810295
15,2382,151163,144.61434990697498,979,0.08823493966855199,0.23233536490128975,0.0,0.9279999732971191,0.13253012048192772,60.43975903614458,10.966239976356748,8.0,64.0,1.7060240582985235,0.5702277975689273,-0.23841366474579098,5.39664614969837,2.442849304568835,1.0949006751179695
16,2550,161234,143.69268612266384,1049,0.09544642819535165,0.24045670162477176,0.0,0.8920000195503235,0.14285714285714285,60.125,11.36210676934939,12.0,64.0,1.7072726139753818,0.6438622868602012,-0.22763044238142302,5.663876132895517,2.5872347349443947,1.1559383273124695
17,2717,171309,143.43318682250424,1119,0.09683832401287056,0.23016797753788273,0.0,0.9729999899864197,0.15568862275449102,60.5748502994012,9.476985792335485,3.0,64.0,1.718600353496542,0.6565366527756153,-0.3241282569496862,6.020498789301877,2.66893549841036,1.54067312926054
18,2887,181379,143.0814566327523,1190,0.09777058871353374,0.24195048276951983,0.0,0.9369999766349792,0.14705882352941177,60.06470588235294,11.316382771501761,7.0,64.0,1.709449168492216,0.7583198853732339,-0.28389405410925467,6.613761764634567,3.005892395807473,1.3056175112724304
19,3054,191452,143.42825840538043,1260,0.14555688728829344,0.2882855931633057,0.0,0.9279999732971191,0.20958083832335328,57.70059880239521,13.75557153099898,8.0,64.0,1.6736831511663466,0.9193992786110187,-0.4749479987933621,9.26939389582919,4.143012236261231,1.3381606563925743
20,3231,201514,142.2796577767781,1331,0.1151355932661369,0.26331604143500204,0.0,0.9369999766349792,0.1694915254237288,59.19209039548023,12.936059382725892,7.0,64.0,1.660275378442384,0.899548431344166,-0.1015926606255624,6.284625882711214,3.0241174639112502,1.264222577214241
21,3401,211582,142.90530690375712,1401,0.16791764638003182,0.2984992730412292,0.0,0.9279999732971191,0.2529411764705882,57.258823529411764,14.356923266310943,8.0,64.0,1.6791995026357693,0.9752941082809291,-0.6404185052317288,9.98709306505686,4.336336350317839,2.08664233982563
22,3581,221643,142.47645392081333,1472,0.16956111209260094,0.29232685696728006,0.0,0.9369999766349792,0.2611111111111111,57.46111111111111,13.09807614748945,7.0,64.0,1.66949466644278,1.0998302757734097,-0.6727574420679091,10.782368929133051,4.701732274919864,2.044154167175293
23,3758,231705,142.72099000378873,1542,0.16377966114356693,0.2890787282616505,0.0,0.9459999799728394,0.2542372881355932,57.779661016949156,13.182852837100114,6.0,64.0,1.656227196359985,1.2572537003063915,-0.5466074969792042,10.158747583321148,4.516204027218744,2.410517245531082
24,3931,241775,143.9382504330018,1612,0.18750867058086945,0.30947622349935616,0.0,0.9279999732971191,0.2774566473988439,56.23699421965318,14.455689368796433,8.0,64.0,1.63060733668262,1.346747205842216,-0.5044268715671655,11.108233115156926,5.033383018092105,2.106845796108246
25,4109,251834,141.14461244987598,1683,0.1720168540317021,0.30142562924957034,0.0,0.9369999766349792,0.25842696629213485,57.061797752808985,14.545225909833263,7.0,64.0,1.582476974375052,1.4304773760358622,-0.3322804883683145,10.176909519773329,4.740349758689358,2.400055408477783
