update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,128,9088,330.4410535267241,27,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9432351072909126,-0.013846716520841344,-0.03598530087306949,0.0025496925846889263,-0.05414280799073233,0.12653344590216875
2,256,18176,344.0271978875891,53,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9436142131896086,-0.0011058367600385345,-0.001370786748973099,0.0006296688176250978,-0.02049209450332212,0.04159984947182238
3,384,27264,343.07261980075276,80,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9438989321950455,-0.002881086813559564,-0.0041396931905644165,0.00014398015938099951,-0.023506693227190366,0.021870864438824356
4,512,36352,341.2267730562133,107,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9442133952824163,8.149675934066796e-05,-0.0017497277004609637,8.530805592394065e-05,-0.02114920800840351,0.018541504628956318
5,704,45440,333.08268065837865,134,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9445318209243492,0.0010725683735434129,0.003076934840663225,6.844284382463178e-05,-0.016334162421629463,0.016696128936018795
6,832,54528,337.0226210726611,161,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.944718254703871,0.00034810653813776654,0.0001191408952417731,5.7714548638998656e-05,-0.019299182043948645,0.012883009505458176
7,960,63616,342.08490202125597,187,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.944897817893767,-0.0005138708671874041,-0.00035881950651228054,7.775271107505779e-05,-0.019768920582784733,0.019420187105424702
8,1088,72704,327.31558880953315,215,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9449807174608742,0.001560984371934237,0.0011182047639881026,6.593685193173525e-05,-0.018298634341065313,0.016722256550565362
9,1217,81792,328.0626039594517,243,0.004472868387089219,0.05060472908585155,0.0,0.5770000219345093,0.007751937984496124,63.86821705426357,1.4909538331995416,47.0,64.0,1.9443407516801914,0.009581336817580251,-0.04203665810055548,0.3086919601733467,0.09286591452612004,0.251803504768759
10,1408,90880,320.03758079287957,271,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9405046933179748,0.016741247571659047,0.02900133271978889,0.0033141768606228185,0.011253374615605449,0.11765004717744887
11,1536,99968,313.96927715183574,300,0.012046875199303031,0.07818426489061872,0.0,0.5860000252723694,0.0234375,63.765625,1.7610560352740057,46.0,64.0,1.9367897176728124,0.058263338775605904,-0.10506484389696799,0.7780974463134683,0.2646159567529152,0.5701628979295492
12,1664,109056,296.17377113711694,331,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9334319719100292,-0.02064243837960123,-0.049421052903102794,0.004471754790925556,-0.06651949001030183,0.1293109329417348
13,1794,118145,295.5986261598692,362,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9321963226379426,-0.028690737073051194,-0.040806879238093084,0.001746714763357771,-0.05925548350749361,0.09253516211174428
14,1984,127234,298.4493388035382,392,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9330557813304974,-0.010970689475294447,-0.02383173917371114,0.0006706941404569068,-0.04282694642516774,0.07019838492851704
15,2112,136322,295.6177724891005,423,0.0035937500651925802,0.04049950642225288,0.0,0.46000000834465027,0.0078125,63.96875,0.3521696146745201,60.0,64.0,1.9336096864508492,0.02374378615236374,-0.03380258060079935,0.21181177316690616,0.05276720593093147,0.1778541065286845
16,2240,145410,287.9730113164939,454,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.934415566597239,-0.012497071936182616,-0.00949844965329325,0.0020954418732006034,-0.027794886432902913,0.09255676413886249
17,2371,154497,291.5642667476981,486,0.00577862617623715,0.06588647556980201,0.0,0.7570000290870667,0.007633587786259542,63.717557251908396,3.2203428037151234,27.0,64.0,1.9317255719136757,0.03641637294957849,-0.02633911233675365,0.41835844081751955,0.1635228628055929,0.1839140048250556
18,2502,163586,289.4584132281832,517,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9263302288553557,-0.008934604863396986,0.004478937781275295,0.002254183229174313,-0.013657272734229144,0.07267012586817145
19,2688,172675,285.42908295521045,549,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9214732628547262,0.009478695031256713,0.016151800124184584,0.0009376936213364004,-0.002594085144437911,0.052409203606657684
20,2816,181763,290.2944745659417,580,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9212824611754065,0.0011698794052260612,-0.0018753261674038172,0.00022548800152196,-0.020975405901250705,0.02121010096743703
21,2945,190851,288.9267187843165,612,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9238977981009848,-0.002065231499279473,-0.0015959085513124695,9.604791095745709e-05,-0.020786864446922088,0.01236173091456294
22,3075,199939,282.97345855872555,644,0.003538461602651156,0.040189198253178925,0.0,0.46000000834465027,0.007692307692307693,63.96923076923077,0.3494712828184784,60.0,64.0,1.9258561724449286,0.0177194695326832,-0.018344347715798317,0.13666055477298114,0.030727367375937984,0.10179291665554047
23,3264,209029,278.31298353413064,676,0.0040529099091020215,0.05557070092669251,0.0,0.765999972820282,0.005291005291005291,63.7989417989418,2.756771162066028,26.0,64.0,1.9247951275969233,0.030609614820369675,-0.020806815925902587,0.422825461438464,0.17135796659719302,0.2240969780832529
24,3392,218119,278.8540428373501,709,0.005281249992549419,0.05951666479603013,0.0,0.6759999990463257,0.0078125,63.78125,2.465187302721641,36.0,64.0,1.9172407476618738,0.0170699881689164,-0.03980390411697003,0.37714348200979847,0.12959541671215766,0.17729819240048528
25,3522,227207,277.733131970718,742,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9091707010471433,-0.00486640555068398,-0.010851623462085498,0.002562902255542079,-0.028661878595889454,0.0612387559376657
26,3652,236295,271.61984480946643,775,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9050072490198302,-0.0030813532450696918,-0.0024089394058995515,0.0006318112736116898,-0.021143103989077285,0.030658641597256064
27,3783,245384,276.2977424878302,808,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9071556060034025,0.0029292513907081957,0.005516989229022366,0.00015439956830399433,-0.013477365416338871,0.016645532683469355
28,3968,254475,277.18555445386875,841,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.912066858510559,0.0024500986967345827,0.0035068638293968483,7.887345044044616e-05,-0.015574366198476687,0.01244538271566853
29,4096,263565,277.56020606398596,874,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.918542661276063,0.0005327502538488995,0.00019190681442744903,3.606700025407994e-05,-0.018975484069555636,0.007195338082965463
30,4227,272653,278.41022581425574,906,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9231675947248987,-0.00041322707246904363,-0.0009767978118204578,3.579726911596364e-05,-0.020190573704074805,0.006749986408976838
31,4357,281741,275.2139802087959,939,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9281158835863248,2.060018963880204e-05,-0.0004970222241841121,3.479619373824345e-05,-0.0197607847586484,0.00772158068139106
32,4544,290830,274.67710428299756,972,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9317729797008105,0.0002049386323576838,-0.0003665544753114244,2.4267107548558804e-05,-0.01967215330795639,0.007222807762445882
33,4672,299921,278.0915351052731,1005,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9343984706896706,4.799470048358441e-05,0.0014229113682541839,3.0397953536293026e-05,-0.017905873835853927,0.006331930955639109
34,4802,309011,280.3740832852196,1037,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9358028773558547,0.0005753768841765219,0.0011298263359946026,2.2852534151086115e-05,-0.018216776874068023,0.005597166367806494
35,4932,318099,276.5077833346764,1070,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.937336556393732,0.0005832726226152529,-2.899985906458689e-05,1.7000359830699857e-05,-0.019393863812298844,0.004115051793633029
36,5064,327187,281.1914963480983,1103,0.00403030307003946,0.04612892705845653,0.0,0.5320000052452087,0.007575757575757576,63.90909090909091,1.0405021038417814,52.0,64.0,1.9382618323007834,0.03119111203132363,-0.03844281767622236,0.27097117134997306,0.0776601406470151,0.1585607979213819
37,5248,336275,276.5292108949615,1135,0.0028423913147138514,0.03845115699989813,0.0,0.5230000019073486,0.005434782608695652,63.94021739130435,0.8087241404519322,53.0,64.0,1.9330926011841167,0.012869742122437484,-0.051879957492903334,0.2665648237199111,0.06207153222090762,0.22387860715389252
38,5378,345366,266.16872043054445,1170,0.006099999867952787,0.06928268031899532,0.0,0.7929999828338623,0.007692307692307693,63.684615384615384,3.582080648889404,23.0,64.0,1.9258193867314886,0.020807486970838972,-0.015269675067113051,0.2888015888976108,0.10987292016880856,0.13006215495988727
39,5507,354456,262.4169901719817,1204,0.0037751937097357225,0.04271144115915084,0.0,0.4869999885559082,0.007751937984496124,63.945736434108525,0.6139221666115761,57.0,64.0,1.9189334101409408,0.035887602763096785,-0.010332962744340365,0.20488717055942,0.0729212914551511,0.17693895334377885
40,5638,363545,260.3212038075836,1239,0.004267175688998389,0.04865328855176446,0.0,0.5590000152587891,0.007633587786259542,63.88549618320611,1.3055443798845092,49.0,64.0,1.9014324132385447,0.022566784293239057,0.009658944038990858,0.1597598308272614,0.07052453425421365,0.11634208215400577
41,5773,372633,259.5870387475753,1274,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.892597856550989,0.02045901219285875,0.022539445408627626,0.0018667488451672104,0.004546840898167919,0.055634567979723215
42,5952,381722,255.17886665420338,1310,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.8953395366983479,0.004580653842874892,0.006939652537685107,0.0007635309797837474,-0.011631977598794892,0.028451395221054554
43,6082,390813,261.8070109487962,1345,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9024818121908311,0.0008104313153104276,-0.0026727385657275317,0.00013682383370246395,-0.02162914488027361,0.010677870421204716
44,6213,399905,261.3148455807129,1379,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9082665948473405,-0.0018295283807738443,-0.001571866063268913,4.76380243640001e-05,-0.020630712295176434,0.007870736881159246
45,6346,408995,257.7208098959128,1415,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.914821739283332,0.000913226980480598,0.001075540154012549,2.897659963419016e-05,-0.018058189962825627,0.00546225524158217
46,6528,418083,257.90632494221404,1450,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.921004170119028,0.0005264688411475809,0.0011522976619264074,1.747350834195641e-05,-0.018049005891235783,0.003985219402238727
47,6658,427172,257.40979552169284,1485,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9263621602911984,7.174054039559729e-05,-0.0005761858129111184,1.7476729114525052e-05,-0.019831067199740607,0.00407628295943141
48,6788,436263,259.8637286534985,1520,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9298695842892721,-9.185757857824004e-05,-0.00021815594710096315,1.19439752377852e-05,-0.019510879701231065,0.0031085501541383564
49,6919,445355,261.04773839211373,1555,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9334138551775286,0.00035749349135993496,0.00039154671724429927,9.280791055540384e-06,-0.018937952131413176,0.002395213959971443
50,7053,454445,254.9440787658778,1591,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9360895426491045,0.00042526707698271394,0.00015741017665233444,7.960920579404942e-06,-0.019199504999175453,0.0024858378164935857
51,7232,463533,255.4903535317348,1626,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9380995385007749,0.0003623469056309928,0.0005400810799635981,1.1442008059385716e-05,-0.018835193254578282,0.0023595563106937334
52,7362,472622,257.29521901477847,1662,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.939334626952759,0.0001281046581062434,0.000349738906543453,8.248034856097476e-06,-0.01903948268162193,0.002868672992917709
53,7493,481713,254.98647004315612,1697,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.940556958162041,0.0001482702848595522,6.178998580391752e-05,8.78156076703091e-06,-0.019339385749666673,0.0017932949413079768
54,7625,490805,251.267877720098,1733,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.941471315943298,0.0001889128616088446,0.00027662723694074057,9.186406230071073e-06,-0.019133491029416312,0.002415152222965844
55,7808,499895,256.185569993864,1769,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9421825606666907,0.0002995709467399942,0.0003027872117925752,7.220787503803877e-06,-0.019115426595454954,0.0024212213465943933
56,7938,508983,253.2218228998433,1805,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9429907461916898,-8.234161418200323e-05,-0.000419699056634035,7.498525688126198e-06,-0.019845858426161215,0.002309241215698421
