update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,128,8192,283.9395257092919,28,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9427249274449423,0.00438904866109624,0.018748627006743845,0.0012287049906944958,-6.426946492865682e-05,0.0826902138069272
2,256,16384,290.59556304050625,57,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9429371012374759,0.0003686657714183639,0.0008346029498937924,0.00031116851729606765,-0.018439182778820395,0.02884644130244851
3,384,24576,294.80998907933457,84,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9431737614795566,0.0020240007923177927,0.005254589885282712,0.00015507702897821218,-0.014099609572440386,0.020214053220115602
4,512,32768,288.85518653650854,113,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9438235295237973,-0.0006639454164201197,-0.001345318011928498,0.00010538776694346552,-0.02073085797019303,0.014037167537026107
5,640,40960,281.40120791978774,142,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.944331240374595,0.0007357326065218217,0.0009540775208449759,7.576417354471232e-05,-0.018451351206749678,0.013879485835786909
6,768,49152,285.66136524409023,170,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9445699695497751,0.0008428445938903906,0.002554620040989164,7.82091706863497e-05,-0.016851973487064242,0.015961636672727764
7,896,57344,291.99739413286596,199,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9447756330482662,0.00032973606212749473,0.00016964046798406685,6.576433744509558e-05,-0.019245231989771128,0.01489005726762116
8,1024,65536,291.52922606139083,227,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9450137914391235,-0.001471085895175861,-0.001550657599111105,6.352563798639466e-05,-0.020969030680134892,0.018538889358751476
9,1152,73728,273.5489666728521,257,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9450846823165193,0.0014107694837832696,0.0020434211916438016,5.225543024423018e-05,-0.017381298588588834,0.013267471105791628
10,1280,81920,288.50153327221744,285,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9452382628805935,-0.0007504980436721098,-0.001396212687140519,3.687021989140504e-05,-0.020830158842727542,0.010792212560772896
11,1408,90112,289.12364657905937,313,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9453121136175469,0.0005695333790072254,0.000965553473704972,3.8383080980253226e-05,-0.018468376249074936,0.009436451073270291
12,1536,98304,291.83927154188785,341,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9454019970726222,0.0007292877435745027,0.0012531383324940748,4.2180711342432176e-05,-0.018179791513830423,0.01272881356999278
13,1664,106495,285.7740223324765,370,0.004015624988824129,0.04525379535973017,0.0,0.5139999985694885,0.0078125,63.921875,0.8804240366863004,54.0,64.0,1.9441340558149922,0.009159660280139424,-0.044692739313155094,0.2859155442138361,0.07882369829321531,0.2784102807054296
14,1792,114687,252.0049627753345,403,0.006195312365889549,0.06981762459787558,0.0,0.7929999828338623,0.0078125,63.6796875,3.6097385504138315,23.0,64.0,1.934612759618176,0.031749191477256744,0.01030065764995891,0.467614454083094,0.22476173844188452,0.2631515320390463
15,1920,122879,257.09175434396525,434,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9245387846203812,0.021895263180795155,0.06299492532664885,0.004359578654233864,0.04592932388186455,0.1565521527081728
16,2048,131071,244.6562817449016,468,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9198567078783526,0.013349020252406696,0.03141865105439301,0.0015224825724926045,0.012981325737200677,0.0961442026309669
17,2176,139263,256.7072632421538,500,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9179076336949947,0.005685271797707614,0.013988429343843478,0.0008039476186595834,-0.004788673344592098,0.06634947727434337
18,2304,147455,239.2907594084484,534,0.0037343748845160007,0.042084267652166586,0.0,0.4779999852180481,0.0078125,63.953125,0.5282544220117802,58.0,64.0,1.9228740195649152,0.03365410474579278,-0.034727480058947435,0.2514062869554967,0.0717469216324389,0.17440478317439556
19,2432,155647,229.15421774120793,570,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9235355098317086,-0.012994004229223144,-0.01705963359078977,0.0025413747524085806,-0.03502429858781397,0.09196535870432854
20,2560,163839,228.56321856979866,606,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9247760859580012,-0.0001974996093356829,0.008903755742081132,0.0005557781191256397,-0.010066116927191615,0.042678604600951076
21,2688,172031,232.71008705130262,641,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9262541727039206,0.0037590944013112804,0.005499857777854,0.00025965645713197077,-0.013632855261676013,0.028450376354157925
22,2816,180223,235.82549705526455,676,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9305875980426208,0.0001650171657403554,-0.0013159992134958998,8.140217001209593e-05,-0.02058117277920246,0.012400435167364776
23,2944,188415,235.0092816924912,710,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9336005960576585,-0.0005092616070156986,0.0013901627816910733,3.565687099883454e-05,-0.017928013345226645,0.00855355046223849
24,3072,196607,239.4400347483376,745,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9353385511603847,0.0005459368607443338,0.0013055012117355602,2.3253216860158997e-05,-0.01803625770844519,0.005176313949050382
25,3200,204799,234.439601931898,780,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.937817247599014,0.00041387952452875965,0.0009185368460236099,1.4526482523045808e-05,-0.01845237147063017,0.00360991049092263
26,3328,212991,249.4373233934368,812,0.004859374836087227,0.05476237323468474,0.0,0.621999979019165,0.0078125,63.828125,1.936932880709861,42.0,64.0,1.939282795156032,0.03698276574407089,-0.04391048267173492,0.3892653695980734,0.13132938044145703,0.24838446866488084
27,3456,221183,228.10866053388722,848,0.004437500145286322,0.05000808692107558,0.0,0.5680000185966492,0.0078125,63.875,1.4086784586980805,48.0,64.0,1.9352958043564286,0.0033270947547872076,-0.10410863055111008,0.34759391735896905,0.05033538118004799,0.22481879126280546
28,3584,229375,238.31893569892526,883,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9290935898134194,-0.017979011104524822,-0.008175815516246132,0.0028047165062596788,-0.02606439171358943,0.08404747443273664
29,3712,237567,226.49169892374226,919,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9250019162755052,0.007140950229750587,0.016909840557369993,0.0007860512605557749,-0.0019471524938126095,0.046229959931224585
30,3840,245759,226.73657514421754,955,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9282219065280515,0.0002670737186547534,-0.0009377092291034117,0.00022653168222138993,-0.02010666229762137,0.019015942350961268
31,3968,253951,235.6569544398801,990,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.931313531313208,9.963870173379519e-05,0.0003910163252545118,7.614648622797371e-05,-0.018884044839069247,0.008784332079812884
32,4096,262143,229.7057432849768,1025,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9344255461073772,3.751395134332647e-05,-0.0010837088917181603,4.0308464222121214e-05,-0.02040780894458294,0.006959662074223161
33,4224,270335,234.75579255959352,1060,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.936923226545332,-0.0006842462160356888,-0.0005716084597189308,1.8418221759544835e-05,-0.01993163232691586,0.004304443078581244
34,4352,278527,232.97500565304324,1096,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.938719981655595,0.0005333068475872338,0.0002055889382086562,2.361906652430224e-05,-0.01916980231180787,0.0052415965183172375
35,4480,286719,231.17181622179703,1131,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9394000460379175,0.00013396341637061937,0.001180728585703339,1.6706183782307094e-05,-0.018204918829724193,0.004051127500133589
36,4608,294911,225.28041276931097,1167,0.004789062310010195,0.053969991307793834,0.0,0.6129999756813049,0.0078125,63.8359375,1.8488904770412309,43.0,64.0,1.9381363534266711,0.03311468825161512,-0.0437720885503845,0.37745459070550175,0.12557382287923247,0.16479867312591523
37,4736,303103,223.0734318142947,1204,0.004156250040978193,0.04683855921351197,0.0,0.5320000052452087,0.0078125,63.90625,1.0565088440235604,52.0,64.0,1.9343954589603527,0.019389076448817377,-0.06300182320860337,0.30473465888261186,0.0700215557590127,0.17596400808542967
38,4864,311295,223.19475748678607,1241,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9299716734531103,-0.006425857755985476,0.03366077635163833,0.0033926533514494215,0.01605738524813205,0.07502643740735948
39,4992,319486,224.78746577983185,1277,0.004015624988824129,0.04525379535973017,0.0,0.5139999985694885,0.0078125,63.921875,0.8804240366863004,54.0,64.0,1.9255248829276697,0.04281881291489137,-0.023926269716584812,0.2826942924647646,0.09816562350802538,0.18761750776320696
40,5120,327678,228.76079412797196,1313,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9255918913622736,-0.00369920563333892,-0.0015409988259023066,0.002123817368656855,-0.019735009060241282,0.034605832770466805
41,5248,335870,224.5263688853223,1350,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9272447353141615,0.0030454937249775327,-0.0011611063659309195,0.0004423674477251824,-0.020212369970977306,0.01671040419023484
42,5376,344062,237.60463417759988,1384,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9304163196829904,-0.001708716527730303,0.0010907973190021902,0.0001476843716086758,-0.018139524618163705,0.00999170687282458
43,5504,352254,227.16480696873944,1420,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9322288751864107,0.000990903264378673,0.0003082052486345077,8.268004707593381e-05,-0.018972742836922407,0.007984837226103991
44,5632,360446,224.07031009460673,1457,0.005210937466472387,0.05872428286913923,0.0,0.6669999957084656,0.0078125,63.7890625,2.377144899053011,37.0,64.0,1.9316161176466267,0.035702599755943254,-0.0445421734592486,0.42101312086809306,0.14664822665508837,0.17482187133282423
45,5760,368638,213.14721623335603,1495,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9269828901087749,-0.023839360645581564,-0.005070217978563107,0.0024881413907439365,-0.023095976328477263,0.06922587333247066
46,5888,376830,217.35650291169154,1533,0.006476562470197678,0.07298715230543917,0.0,0.8289999961853027,0.0078125,63.6484375,3.9619081650883516,19.0,64.0,1.9261218362516956,0.03629082970184072,-0.021519998213602065,0.4524419235594689,0.18543979083187878,0.10410980600863695
47,6016,385022,207.76934698522174,1572,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9311675523786107,0.01070000102563995,0.027551149688253673,0.0017731976952243267,0.009126074146479368,0.04605719749815762
48,6144,393214,214.68875512533472,1610,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9332877496781293,0.0016625449067912967,-0.004266824690631665,0.0007410548094317626,-0.02322917291894555,0.016928918194025755
49,6272,401406,214.35088591409126,1649,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.935197861850611,-0.00046065237019377037,0.0015181629681819686,0.00033528673089477934,-0.017666170722804964,0.011173356033395976
50,6400,409598,211.78891779667998,1687,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9369902779217227,0.0011204441380456842,-0.00019647912762366104,0.00010166857355414782,-0.019515547202900052,0.006647861038800329
51,6528,417790,214.1851769251914,1725,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9382348498984356,-0.0007101318401794288,0.0005942120069093448,4.368449364255955e-05,-0.018766294000670314,0.004585085727740079
52,6656,425982,205.45340001865716,1765,0.0042968750931322575,0.04842332306729375,0.0,0.550000011920929,0.0078125,63.890625,1.2325936513608204,50.0,64.0,1.9397613168839598,0.005641059982345098,-0.006948761020746375,0.06822843573133203,0.007767842849716544,0.021700816723750904
53,6784,434174,206.74073160434068,1805,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9387462375525502,0.0019048718253671382,0.007980184486703124,0.00010965879750514732,-0.011352449306286871,0.011792041535954922
54,6912,442366,215.12766041171554,1843,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9387442587321857,0.000633849103646611,-0.0014448096449246606,5.4360401480380016e-05,-0.020805072505027056,0.005011902016121894
55,7040,450557,218.97145851828444,1880,0.00689843762665987,0.07774144386678458,0.0,0.8830000162124634,0.0078125,63.6015625,4.490162587100132,13.0,64.0,1.9386222424662574,0.01732560898415074,-0.025068378676332617,0.39165839234502325,0.15137458496689868,0.07565837618312798
56,7168,458749,209.74682204743283,1920,0.003874999936670065,0.04366903150594838,0.0,0.4959999918937683,0.0078125,63.9375,0.7043392293490403,56.0,64.0,1.934467046172358,0.04979409968677828,-0.007564472223485552,0.26907160803472496,0.10762665898073465,0.12786331120878458
57,7296,466941,208.64187229792373,1959,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9232014747249195,0.02033726306376593,0.052278950789977685,0.004977517873920478,0.035535697592422366,0.0826756483875215
58,7424,475133,212.11862546652023,1997,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9199047811198398,-0.002758044939668025,-0.012390398110412093,0.000739595661615744,-0.03121964749880135,0.022469366900622845
59,7553,483324,203.84209392491474,2038,0.005658914876538653,0.06402331333372666,0.0,0.7300000190734863,0.007751937984496124,63.736434108527135,2.981907666399083,30.0,64.0,1.9189198870257775,0.04112044180762839,-0.04289400646212227,0.4530732881690734,0.16445343230411313,0.1928961663506925
60,7681,491516,201.32625068909064,2078,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.924057507807447,-0.021594797317732173,0.012710337372947578,0.0034783328745602304,-0.004791069477505516,0.0798736356664449
61,7809,499708,203.45195081737828,2119,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9274471261451254,0.019389410167150345,0.0016891037822333033,0.0013681175951423263,-0.016901307506486773,0.049711958854459226
62,7937,507900,200.20875340661198,2159,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.926264478097437,-0.012413147296143734,0.0005986474828212351,0.0005751563568109352,-0.018376419320702553,0.03258600318804383
63,8065,516092,206.87380395956828,2199,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9289401086280122,0.005994016958666748,-0.003098554187776159,0.00021767021600904712,-0.022279119584709406,0.019348488218383864
64,8193,524284,204.0117249922382,2239,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.931184856890468,-0.0038957741420517777,0.0021201294261299353,9.239206993022497e-05,-0.017145522171631455,0.012152941490057856
65,8321,532475,204.83697285595653,2279,0.004578125197440386,0.05159285077485732,0.0,0.5860000252723694,0.0078125,63.859375,1.5847632660353408,46.0,64.0,1.9313027701845333,0.03639475496977954,-0.04601993238805792,0.35225453368569526,0.11079430210475388,0.1359691983088851
66,8449,540667,209.4653067639728,2318,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9276307044674468,-0.00014931743609980508,0.03355567540081594,0.0028581697934280115,0.015708454709965736,0.06291795847937465
67,8577,548859,206.4577729200412,2358,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.927312066371087,-0.001031725900844549,-0.012969176222981105,0.0007512363084526408,-0.031866675708442926,0.02405141037888825
68,8705,557051,202.84979187960596,2398,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9288370750000468,-0.0002574099360828086,0.004296404804122744,0.00018828429958694937,-0.014897822518832982,0.009951513493433595
69,8833,565243,202.49628887364588,2439,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.930805735217291,-0.001446761056634216,-0.0029974279871822773,6.965630321431604e-05,-0.02227065688930452,0.00480240912293084
70,8961,573435,206.3251248154912,2479,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9330957315905835,0.0007227280517909662,0.0013119667037968519,2.597133185148863e-05,-0.018006003461778164,0.0030065877072047442
71,9089,581626,207.1957692614713,2518,0.004859374836087227,0.05476237323468474,0.0,0.621999979019165,0.0078125,63.828125,1.936932880709861,42.0,64.0,1.9334970189456522,0.03380502152623125,-0.04481501030404369,0.3875431597543144,0.12962157303357558,0.12072428385727108
72,9217,589818,206.37130840375772,2558,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9276319085038267,0.026528502849487268,0.051688888471794314,0.0035799564023220043,0.034202547278255224,0.06940973177552223
73,9345,598010,208.01379217013053,2597,0.003874999936670065,0.04366903150594839,0.0,0.4959999918937683,0.0078125,63.9375,0.7043392293490403,56.0,64.0,1.9236189433431718,0.028646794925180075,-0.05667403755126088,0.26934570986310913,0.058762626722455025,0.15838037664070725
74,9473,606202,207.5408360573225,2637,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9161538197949994,-0.009255516600717328,-0.0011778504780579624,0.003749150296147974,-0.018464814056642354,0.0833336126524955
75,9601,614394,203.3976496358355,2677,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9117301272781333,0.00665653631553198,0.02593410955013553,0.001066168129861822,0.0073498928104527295,0.045619863318279386
76,9729,622586,209.1371879063248,2716,0.003382812486961484,0.03812236064158019,0.0,0.43299999833106995,0.0078125,63.9921875,0.08804240366863003,63.0,64.0,1.9183702131704194,0.04298356434350126,-0.040266120715795495,0.21277746375048423,0.04693890921771526,0.15780085261212662
77,9857,630778,207.18524483949994,2756,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9154936539853225,-0.029298798096341727,0.0014755264076740104,0.002776614282804235,-0.016291101928800344,0.0773081504739821
78,9985,638970,204.03347542627287,2796,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9175269584957277,0.024190905849039268,0.013752177675327104,0.0012969482086000461,-0.0047746176715008914,0.05048105714377016
79,10113,647162,206.70393595084192,2835,0.006124999839812517,0.06902524267098469,0.0,0.7839999794960022,0.0078125,63.6875,3.5216961467452017,24.0,64.0,1.9158974704623688,0.0170215884690208,-0.044652595395204386,0.4671578693917411,0.16976733482442796,0.13593812473118305
