update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,128,10048,166.87894443586907,60,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9431930924676786,-0.004184813910617365,-0.008362145825155674,0.002458331651723711,-0.026564909204555925,0.15412055514752865
2,257,20159,167.65121567349735,120,0.0058682172797447025,0.06639129971173688,0.0,0.7570000290870667,0.007751937984496124,63.713178294573645,3.245017166375474,27.0,64.0,1.9429742384706756,0.017351062535503115,-0.03204259631057281,0.37516564770364436,0.13611049857718244,0.2873319126665592
3,448,30208,161.64889534040643,182,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9400156618309372,0.0018499019214797323,0.00955967624801136,0.0016082762546780344,-0.009036342026653758,0.0714743584394455
4,577,40319,164.50665713694076,244,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9374944216366068,0.0018572363705129887,0.0014996631183172785,0.0003687189131020103,-0.017690920402972803,0.03421912272460759
5,768,50368,165.21382919813433,304,0.002219895261744554,0.030599144512421014,0.0,0.42399999499320984,0.005235602094240838,64.0,0.0,64.0,64.0,1.9374485153774206,0.008959577561011758,-0.030699481321705076,0.1621616056914485,0.031006837249430912,0.2256944493856281
6,897,60479,166.15694555503433,365,0.003844961177471072,0.043500769951820915,0.0,0.4959999918937683,0.007751937984496124,63.93798449612403,0.7016253332703728,56.0,64.0,1.9329549533277883,0.026088664301189998,-0.024960771221399718,0.1851236934987244,0.048271519224528874,0.2787041272968054
7,1088,70528,164.18448027237028,427,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9307448196196415,0.0020430927651795125,0.0003333400314755709,0.0030037730058262704,-0.017472221123210136,0.09198081074282527
8,1217,80639,165.2441284682836,488,0.003426356602084729,0.03876479980955855,0.0,0.44200000166893005,0.007751937984496124,63.98449612403101,0.1754063333175932,62.0,64.0,1.9295258787958478,0.020961239905078203,-0.030448626983334098,0.16369202193817528,0.03210213323243588,0.21488398872315884
9,1408,90688,163.04694561522896,549,0.002219895261744554,0.030599144512421017,0.0,0.42399999499320984,0.005235602094240838,64.0,0.0,64.0,64.0,1.9256722355543743,0.009310353084453727,-0.024919410683178055,0.16356551513542564,0.037606626520679774,0.17490330804139376
10,1537,100799,165.18729624908565,611,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,1.9217111295413905,-0.0018670267635879402,-0.006040441226096846,0.000737557249240423,-0.02488877254286502,0.04603378288447857
