update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,128,9085,143.55584100519422,63,0.017468750244006515,0.0986315710648054,0.0,0.703000009059906,0.03125,63.53125,3.1818270596467055,33.0,64.0,1.9412861951019453,-0.016023354928112236,-0.22880762175517952,1.2000237769846545,0.3517914418801542,0.6014859601855278
2,257,18171,134.10036529667448,131,0.018519380295923513,0.10484859058328092,0.0,0.7570000290870667,0.031007751937984496,63.4031007751938,3.8125036634268064,27.0,64.0,1.9348459097780426,0.08183629861927255,-0.17760650325894045,1.2641522151181523,0.43512113866316915,0.5342364199459553
3,388,27260,128.1404984032349,201,0.018236640982955465,0.104425788344324,0.0,0.7120000123977661,0.030534351145038167,63.412213740458014,3.903160256106501,32.0,64.0,1.9246342946218964,0.027301684389293968,-0.1330183535629947,1.117639008828912,0.40655480476217387,0.5429408270865679
4,524,36349,125.57396776223365,274,0.026117646738010293,0.12618497305633639,0.0,0.9279999732971191,0.04411764705882353,63.1764705882353,5.367223996220535,8.0,64.0,1.9105420054113502,0.1683778934347143,-0.10978388926567625,1.4414891556600786,0.5918551938265434,0.5487529262900352
5,704,45437,125.30264469639398,346,0.005561111039585538,0.05248271224909635,0.0,0.5139999985694885,0.011111111111111112,63.90555555555556,0.9049077437459345,54.0,64.0,1.9047768318920697,0.07023857573703551,0.02756390749941538,0.5014690513237351,0.2592506778072303,0.42449535988271236
6,836,54525,120.6180050363156,422,0.043696969747543335,0.17445785900635552,0.0,0.8920000195503235,0.06060606060606061,62.0,8.506681865665152,12.0,64.0,1.9021037107228602,0.20365246456496838,-0.1570391358400101,2.486066991223498,1.0669733672074868,0.6473636589944363
7,971,63615,113.37685034858777,502,0.014355555728629784,0.0961790370049596,0.0,0.7390000224113464,0.022222222222222223,63.45185185185185,3.9341214248494585,29.0,64.0,1.8997261881172591,0.10531173689440466,0.019679429350017156,0.8330507728796849,0.41720752611149786,0.40344697050750256
8,1109,72708,114.09204452286137,582,0.020768115917841595,0.12435860272444281,0.0,0.9279999732971191,0.028985507246376812,63.05797101449275,6.501692216670923,8.0,64.0,1.9039944828926605,0.14215218177542335,-0.024521155353679797,1.008219802864622,0.46054876418340773,0.34153061360120773
9,1251,81797,113.07588744764223,662,0.03821126738904228,0.16111765463278474,0.0,0.9549999833106995,0.056338028169014086,62.40845070422535,7.808585857416203,5.0,64.0,1.8959692293877044,0.16014407624642518,-0.17090016993333734,2.2944425106931683,0.9573614133284396,0.6466068848967552
10,1418,90889,109.08321743415556,745,0.024449101643647976,0.13004870719182937,0.0,0.9279999732971191,0.03592814371257485,62.97604790419162,6.237756482728782,8.0,64.0,1.9011178192356006,0.1901311949878813,-0.05797232251384472,1.9237389207507345,0.8848859432034172,0.5649547316133976
11,1552,99983,107.95017211674464,830,0.017149253567652917,0.11495998577990174,0.0,0.9459999799728394,0.022388059701492536,63.149253731343286,6.018017056624993,6.0,64.0,1.9018718937294337,0.11072814682007413,0.027806604958015135,0.9018793370101345,0.45972754799562,0.3498000390827656
12,1692,109075,106.75647652026346,915,0.024007143293108258,0.1409375520454448,0.0,0.9190000295639038,0.02857142857142857,62.67857142857143,7.916770496991865,9.0,64.0,1.898805443431856,0.09025244113079157,-0.04964077562971382,1.3554287684848045,0.6090855487264624,0.2816336899995804
13,1835,118168,106.6057138839717,1000,0.01393007002510391,0.09897874773558211,0.0,0.8830000162124634,0.02097902097902098,63.44055944055944,4.874110824589742,13.0,64.0,1.8833716176569062,0.14548047244987983,-0.013665435192150936,0.9195401328111672,0.4272709704593871,0.3085637092590332
14,1992,127261,105.94844839391237,1086,0.03312738894656965,0.1453341752831241,0.0,0.8109999895095825,0.050955414012738856,62.71974522292994,6.241258238022792,21.0,64.0,1.8546363843571532,0.20331186935163023,-0.18349152812167854,2.7061018081532273,1.151013105730799,0.6222739741206169
15,2134,136354,107.64985103041067,1170,0.033330985777814626,0.13957494374393153,0.0,0.8109999895095825,0.056338028169014086,62.95070422535211,5.405171577827738,21.0,64.0,1.8281337790896657,0.20492592378246316,-0.14088581442469553,2.2680934876638625,0.9748796131381969,0.5328660868108273
16,2279,145444,107.08855561596638,1255,0.06539310299116989,0.2024347064506904,0.0,0.8289999961853027,0.09655172413793103,61.282758620689656,9.000922135346112,19.0,64.0,1.8070680692250973,0.3363967053305329,-0.30196389041070565,4.556957359216509,1.9584439352138339,0.8348093070089817
17,2422,154533,104.60532726026909,1342,0.0506783221568261,0.179613557688835,0.0,0.9010000228881836,0.07692307692307693,61.99300699300699,8.132208693259189,11.0,64.0,1.8057610481561037,0.3906064830029387,-0.06485147136567364,2.8794376651924205,1.3568097103126031,0.6633528396487236
18,2572,163624,103.96278161189389,1430,0.07060000042120616,0.21778016568736544,0.0,0.9369999766349792,0.1,60.86666666666667,10.95789923094548,7.0,64.0,1.8034242085662564,0.42879615185638686,-0.1943303021237528,4.370680510343152,1.9729753703439528,0.9149813428521156
19,2725,172711,104.25729106146932,1517,0.08400653701981688,0.22897437128254608,0.0,0.9100000262260437,0.12418300653594772,60.51633986928105,10.881479483680973,10.0,64.0,1.7855639299753936,0.5268537312355768,-0.23792124862947767,5.105726047399231,2.297086161356024,1.040526196360588
20,2877,181797,104.73389533352488,1603,0.12467105353349134,0.24986854008600118,0.0,0.9279999732971191,0.21052631578947367,60.06578947368421,10.452694850606191,8.0,64.0,1.7599829817143615,0.6835008865932051,-0.6168327985719689,7.333539466170876,3.032337159331664,1.5078492984175682
21,3029,190884,104.87713303421101,1690,0.09896710456201904,0.24706725421582232,0.0,0.9459999799728394,0.14473684210526316,59.82236842105263,11.92526176126932,6.0,64.0,1.736124135669445,0.7477983002407107,-0.1954311148366106,6.125387578999312,2.849901271755839,1.1169874668121338
22,3183,199983,104.65046591592927,1777,0.10395454547621986,0.24218390374807094,0.0,0.9459999799728394,0.16233766233766234,60.0974025974026,10.690309655301245,6.0,64.0,1.7418176446829357,0.8331353811919525,-0.1641497342365301,5.726681865885213,2.6817728510687986,1.2043231949210167
23,3337,209073,104.65370229380241,1864,0.165292208457922,0.29367271275222256,0.0,0.9459999799728394,0.2532467532467532,57.564935064935064,13.864804233178154,6.0,64.0,1.7053024786140265,0.9166156925121681,-0.5512925008981928,8.867873448608863,3.8655912392997114,1.5164803266525269
24,3491,218159,103.78476581875886,1951,0.12285064954262276,0.2690670456917969,0.0,0.9549999833106995,0.18181818181818182,58.91558441558441,13.10197333144664,5.0,64.0,1.7146501771001965,0.9753375294290921,-0.19660672671181068,7.270415768850592,3.4214545654458095,1.2491702139377594
25,3652,227245,103.4228868888236,2039,0.16275155266619618,0.2923934433881121,0.0,0.9100000262260437,0.2484472049689441,57.62111801242236,13.76057203932406,10.0,64.0,1.676977542379263,1.1111172258447188,-0.507035073836732,9.426772243286509,4.189581402277542,1.6698998510837555
26,3804,236327,103.64158222829803,2127,0.15305263196167193,0.2878878117313012,0.0,0.9549999833106995,0.23026315789473684,57.8421052631579,13.535579461454198,5.0,64.0,1.6739714381401298,1.1134526808339051,-0.48792908347255465,8.797536832585429,3.8940996893752753,2.043988987803459
27,3969,245413,103.96801239432392,2214,0.19774545521447154,0.3210045166451745,0.0,0.9369999766349792,0.2909090909090909,55.733333333333334,16.186463979560706,7.0,64.0,1.6398644657248367,1.2737139331961214,-0.5439659619358256,10.386056500871408,4.632663694058854,1.6311441510915756
28,4130,254501,103.47831423056408,2302,0.17488819953077328,0.3077448546927142,0.0,0.9459999799728394,0.2546583850931677,56.56521739130435,15.027421150797107,6.0,64.0,1.6223766029300823,1.4119807349019486,-0.47014828114671975,10.658431153003336,4.842843821350957,2.1555383652448654
29,4288,263588,104.00719978717646,2390,0.1527658236932151,0.2964014819233291,0.0,0.9639999866485596,0.22151898734177214,57.462025316455694,14.910125722563517,4.0,64.0,1.6108493213017572,1.3563336798679557,-0.18064015210035597,8.775234613452392,4.190868425962226,1.6517206728458405
30,4443,272678,104.5566178447401,2477,0.17422580680539532,0.3011318990804956,0.0,0.9279999732971191,0.2645161290322581,57.10322580645161,14.483883899699666,8.0,64.0,1.5951884826811233,1.4864037255118259,-0.25111137953954693,8.898733834320694,4.182303376822057,1.6709476932883263
31,4616,281764,104.23319999786881,2564,0.21324855537083798,0.3243998491467376,0.0,0.9729999899864197,0.3179190751445087,55.283236994219656,16.053581054281224,3.0,64.0,1.580726366905869,1.5096702922579215,-0.6393601037980097,12.105604907948358,5.397634947481015,2.7249970734119415
32,4775,290840,103.40761103805416,2651,0.22375471693164897,0.3246869552935435,0.0,0.9639999866485596,0.33962264150943394,55.138364779874216,15.884994694539625,4.0,64.0,1.547036711262837,1.5191245746276305,-0.7288987916024503,12.210038835681079,5.360650578276498,3.0566640198230743
33,4938,299923,104.20219623526401,2739,0.18255214749669735,0.2981873697364379,0.0,0.9549999833106995,0.2883435582822086,57.30061349693251,13.894932195873285,5.0,64.0,1.5166396162366338,1.4981316052829197,-0.3484344227036676,10.183395324894002,4.728096637433943,2.5467243418097496
34,5094,309016,103.59605795046076,2826,0.15912179419627556,0.2932742712697443,0.0,0.9369999766349792,0.23717948717948717,57.493589743589745,13.879747649220741,7.0,64.0,1.5373701554745924,1.4769748690156381,-0.19611723206295742,9.201272011773364,4.389144583659821,2.37033873796463
