update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,129,10047,168.37326613453502,59,0.006705426430517389,0.07586323999626163,0.0,0.8650000095367432,0.007751937984496124,63.62015503875969,4.297455166281033,15.0,64.0,1.9433168615525525,0.020954602588562483,-0.011445283932781722,0.34719787677305625,0.1427204890121592,0.41833750531077385
2,260,20157,170.3670808303965,119,0.015000000027299837,0.1013626250310549,0.0,0.8830000162124634,0.022900763358778626,63.412213740458014,4.802782636508929,13.0,64.0,1.9384607517371428,0.02661200802350411,-0.10101281734101444,0.8247259958460852,0.29196555366855703,0.416665842756629
3,451,30206,164.61431971799757,180,0.011371727701257037,0.0911742651375189,0.0,0.8830000162124634,0.015706806282722512,63.47643979057592,4.4449182579293005,13.0,64.0,1.9294967331546067,0.04214506404900141,-0.11054434860097381,0.9751210749086441,0.35772115088823553,0.4680791422724724
4,584,40313,166.8944467969679,240,0.012744361072554625,0.08482734929326477,0.0,0.6489999890327454,0.022556390977443608,63.64661654135338,2.712254254061324,39.0,64.0,1.9247639514199937,0.04043955127322982,-0.11071125745321085,0.8123306916559792,0.27620640774797917,0.5183464102447033
5,772,50365,162.81549273432017,302,0.01400000015471844,0.09660354477761901,0.0,0.8289999961853027,0.02127659574468085,63.4468085106383,4.240426065697994,19.0,64.0,1.921997846572275,0.08293909301990224,-0.0676349505958256,1.2399370764797826,0.5331134686088638,0.5563367642462254
6,907,60471,163.94202589225608,364,0.020170370516953647,0.10336469409697384,0.0,0.6309999823570251,0.037037037037037035,63.50370370370371,2.7778864176286153,41.0,64.0,1.9091808436154234,0.15485076567347206,-0.0827461617314571,1.12025494340847,0.45828942820361973,0.5451759956777096
7,1093,70525,159.57417107687402,427,0.017586021654067502,0.11912379870421412,0.0,0.8920000195503235,0.021505376344086023,63.05913978494624,6.460945311159468,12.0,64.0,1.895363070155224,0.12053891144409815,-0.023330675651933846,1.3764198266286276,0.6459257028343333,0.45407629385590553
8,1233,80624,159.12133475656304,490,0.03830000034400395,0.16994439087828786,0.0,0.9369999766349792,0.05,62.1,9.003412051629569,7.0,64.0,1.871297806415809,0.15943468498798843,-0.07959823122672077,1.949364310540576,0.8763708433239445,0.6250362992286682
9,1417,90678,155.51655921952585,555,0.03174456565276436,0.1429675604769023,0.0,0.8830000162124634,0.04891304347826087,62.77717391304348,6.285708483828001,13.0,64.0,1.8419235538056198,0.21131941207792215,-0.1582554950758997,2.62025060666605,1.1334505796385068,0.8974388390779495
10,1558,100777,157.96273220343244,619,0.04442553105929219,0.17333729464537753,0.0,0.9549999833106995,0.06382978723404255,62.0709219858156,8.255361799504751,5.0,64.0,1.803551482710464,0.30112031131985756,-0.08222497626945431,2.6048982645632024,1.20218857964356,0.611533984541893
11,1738,110837,153.01810725042765,684,0.04176666686932246,0.1626721012966631,0.0,0.8920000195503235,0.06666666666666667,62.5,7.528833464311276,12.0,64.0,1.769031843655626,0.3277505812422182,-0.10273161231814171,2.8242165510649153,1.2916864110745683,0.8251216784119606
12,1889,120926,153.31312266164093,750,0.06409933709150908,0.21170990048058458,0.0,0.9549999833106995,0.08609271523178808,60.93377483443709,10.709078202595236,5.0,64.0,1.7314485382520948,0.3154987644801847,-0.19069922323308133,3.969511889151299,1.7767421825634664,0.8638240993022919
13,2065,131008,150.69634276915224,817,0.05417613651264797,0.1967009091588705,0.0,0.9190000295639038,0.07386363636363637,61.46022727272727,10.208541875364688,9.0,64.0,1.6939570265756527,0.3156941997652559,-0.13193449879645638,3.7787994302689523,1.7405254815784008,0.9131756201386452
14,2218,141095,151.0671338718257,884,0.03528758143287858,0.15480105926469642,0.0,0.8560000061988831,0.05228758169934641,62.54248366013072,7.464063734066288,16.0,64.0,1.703075724053669,0.2312558034644132,-0.03524981721788069,2.2607213718669095,1.0780800601660088,0.7921135574579239
15,2378,151176,149.59874004247965,951,0.06484374981373549,0.19953246960118964,0.0,0.9549999833106995,0.1,61.50625,8.961024547310425,5.0,64.0,1.713368119920084,0.29605141694483544,-0.3364222801488431,4.245766463155642,1.7693272747580535,1.5225837379693985
16,2549,161245,148.56729159930723,1019,0.08517543962824414,0.23382338223903337,0.0,0.9190000295639038,0.12280701754385964,60.32163742690059,11.483349232673145,9.0,64.0,1.6709835757351121,0.4304165059706343,-0.3320190584804459,5.727013022916987,2.5147778667041165,1.642310455441475
17,2708,171325,147.82873857394713,1087,0.06728301914233081,0.21049908210155593,0.0,0.8199999928474426,0.09433962264150944,60.9685534591195,9.93590869298416,20.0,64.0,1.6316015340979138,0.4653985857963562,-0.12576718484208593,4.252211550891673,1.9840228489467076,1.633353054523468
18,2880,181392,145.38657174444324,1156,0.06560465121685072,0.2111011982605028,0.0,0.9279999732971191,0.09302325581395349,61.093023255813954,10.700062928500829,8.0,64.0,1.6143568659818692,0.533132625618485,-0.11484716757517699,4.387928593525589,2.062973415033339,2.0033342838287354
19,3047,191465,145.00969817614572,1226,0.1075688616601293,0.25094287855573727,0.0,0.9549999833106995,0.16167664670658682,59.66467065868263,11.583392395259354,5.0,64.0,1.5924603334311564,0.632082861631733,-0.4384779095890848,6.8049960819148,2.9480954559062593,2.648305967450142
20,3208,201544,144.7928440758147,1295,0.06740993705595502,0.201128166018869,0.0,0.8740000128746033,0.10559006211180125,61.484472049689444,8.821279741288308,14.0,64.0,1.5851393807607341,0.6362226516768293,-0.07328557354921161,4.303429946718069,2.0625781424403464,2.1780791133642197
21,3380,211614,143.56541636681604,1366,0.09375000034653863,0.23990633260036265,0.0,0.9459999799728394,0.13953488372093023,60.156976744186046,11.511056774650475,6.0,64.0,1.6049180751524,0.6240966815579139,-0.2832428332629069,5.89182736193974,2.646621428322058,2.1897466629743576
22,3547,221688,144.22252120308278,1435,0.08991616732346083,0.23628710769114308,0.0,0.9279999732971191,0.1317365269461078,60.21556886227545,11.216497558987252,8.0,64.0,1.6156836509325923,0.6142077020692853,-0.17906472761260153,5.636619988121485,2.623088934366159,3.308634966611862
23,3719,231754,143.87747150607746,1505,0.11649418587601462,0.2586821134989379,0.0,0.8920000195503235,0.1744186046511628,59.27325581395349,11.783452374613807,12.0,64.0,1.5932230912452423,0.7588437296111139,-0.37327961672038973,7.199419906160454,3.2104982603100787,3.4687534272670746
24,3885,241827,145.63568005521034,1575,0.09784939687654197,0.2389552198031213,0.0,0.9369999766349792,0.15060240963855423,60.22289156626506,10.896211625304586,7.0,64.0,1.5885185750868331,0.7157351967122246,-0.22672094999530826,5.732057157954577,2.6234223808774075,4.915876120328903
25,4050,251902,146.70369353973754,1643,0.1074545448476618,0.2480098087432021,0.0,0.847000002861023,0.16363636363636364,59.76969696969697,11.056671778490285,17.0,64.0,1.5946124083942574,0.8145793813038109,-0.3143930353571848,6.5314432070539254,2.935382046758685,4.886686623096466
26,4227,261965,144.62258853411097,1713,0.14875141274457598,0.28423093893657364,0.0,0.9549999833106995,0.22598870056497175,58.11864406779661,13.424934317838728,5.0,64.0,1.5930772418591062,0.9098134470142333,-0.5189599813453829,8.440019876357162,3.685119222530868,5.244206041097641
27,4395,272038,146.41080622107438,1782,0.14669047633097285,0.2817735699614423,0.0,0.8650000095367432,0.2261904761904762,58.357142857142854,13.428064833402766,15.0,64.0,1.587107754293317,1.0521989057119205,-0.4272731120427162,8.094111870542712,3.6039118778619206,5.320426881313324
28,4573,282101,144.99934226315193,1851,0.1271516854843397,0.2689604092485791,0.0,0.9639999866485596,0.19101123595505617,58.87078651685393,12.61531708773457,4.0,64.0,1.5764360472398522,1.0168864565673694,-0.27006962190464645,6.502372059290302,2.9653519982314545,5.946649849414825
29,4737,292174,146.45379030287765,1920,0.15893902466064547,0.2967805446055486,0.0,0.9459999799728394,0.23170731707317074,57.25609756097561,14.286110409227145,6.0,64.0,1.5488911540390162,1.055479567514611,-0.4268453750279695,8.24778890233107,3.681559503321069,7.174193978309631
30,4925,302226,143.68784888003677,1990,0.14506914815370073,0.2924871874403609,0.0,0.9549999833106995,0.2074468085106383,57.65425531914894,14.743647495335983,5.0,64.0,1.541499622305503,1.006479953989013,-0.2690030407654162,7.311192109485606,3.37117861145481,10.032963275909424
31,5091,312301,146.31834727906286,2059,0.13884939720113593,0.27231175862345963,0.0,0.9639999866485596,0.21686746987951808,58.78915662650602,12.41103776180162,4.0,64.0,1.509905542605568,1.0191527008359544,-0.3741650234432729,6.4244520295317065,2.822961892253412,9.530351400375366
32,5267,322366,143.62066766020268,2129,0.15771590918302536,0.30918920515732784,0.0,0.9729999899864197,0.2159090909090909,56.64772727272727,16.16501537603469,3.0,64.0,1.4999905199182608,0.8848615457332969,-0.3163177294217113,6.8845621586734245,3.110963236036078,8.454605340957642
33,5445,332429,143.84022786359577,2199,0.14978089895141258,0.29093947455688185,0.0,0.9369999766349792,0.21910112359550563,57.67977528089887,14.150623758636582,7.0,64.0,1.500735109183846,0.8980364173541163,-0.5004448905693814,6.9570993456175465,2.963097621702027,10.977991700172424
34,5618,342495,143.76037597429635,2269,0.14660115686455213,0.2922085887670567,0.0,0.9190000295639038,0.20809248554913296,57.51445086705202,14.299685487634816,9.0,64.0,1.4705132835550383,0.8515459015097979,-0.4231602310891562,6.3425422556374125,2.7334060047436917,8.430463790893555
35,5787,352566,145.58632636706088,2338,0.10246153837124977,0.23840148135423267,0.0,0.9010000228881836,0.15976331360946747,60.142011834319526,9.914603333776501,11.0,64.0,1.4598155022140955,0.7950646555562229,-0.27779166432910046,4.76324792831127,2.0892340166070897,9.02169644832611
36,5958,362637,145.22621407555644,2407,0.12353801239303679,0.28009904942604497,0.0,0.9729999899864197,0.1695906432748538,58.26315789473684,14.392809668187095,3.0,64.0,1.448819967642428,0.8132348988383118,-0.1370346234981335,5.217288212847915,2.4571214785181463,8.516058921813965
37,6128,372706,145.43362058579953,2476,0.12936470701413996,0.27533087735473794,0.0,0.9100000262260437,0.18823529411764706,58.49411764705882,13.252412459101896,10.0,64.0,1.424328301085274,0.8844627563784572,-0.3127887893417455,6.573969129613192,2.959952960316007,11.792118787765503
38,6307,382766,145.0687026841694,2546,0.15810055889230867,0.3011590480645175,0.0,0.9010000228881836,0.22346368715083798,56.960893854748605,14.817083273806729,11.0,64.0,1.43763834960892,0.9233447775926078,-0.5363417843501148,7.52929273916938,3.213928465340768,14.65949809551239
39,6476,392838,146.0756261456659,2615,0.1389289944482273,0.28647970709735626,0.0,0.9369999766349792,0.20118343195266272,58.0414201183432,14.423991777994964,7.0,64.0,1.4135021126582756,0.9572918106867644,-0.21806217479572068,5.817987100084366,2.6767964503232973,10.204489529132843
40,6651,402904,144.73937565080863,2684,0.10193142856870378,0.24721538485175867,0.0,0.9459999799728394,0.15428571428571428,59.94285714285714,11.900403011525897,6.0,64.0,1.3766017268055977,0.8449188442891524,-0.1103816001525953,3.9611420556088697,1.8564235324204004,11.233151137828827
41,6818,412979,145.9929444319464,2753,0.10578443011837806,0.25467694708155614,0.0,0.9549999833106995,0.15568862275449102,59.58083832335329,12.54755234919929,5.0,64.0,1.358778669579745,0.8561229300203158,-0.11787223546513849,5.342726016476491,2.5399027072348015,11.29720687866211
42,6990,423047,144.8388003908237,2823,0.14461627879808114,0.29722670281958874,0.0,0.9549999833106995,0.19767441860465115,57.24418604651163,15.097694299948222,5.0,64.0,1.3510467362962737,0.8254395832037897,-0.33404228615807274,5.906500853683961,2.605697710645734,9.721233427524567
43,7165,433112,145.85732690331145,2892,0.10052000045776367,0.26257609284066546,0.0,0.9729999899864197,0.13142857142857142,59.02285714285714,13.802258318618643,3.0,64.0,1.326016883452141,0.6677444708388774,-0.07622604110845865,4.095819403684915,1.9584233488186165,7.460292190313339
44,7342,443176,144.3001442557876,2962,0.170011300151631,0.3170477708066278,0.0,0.9279999732971191,0.23163841807909605,56.0225988700565,16.38345410428208,8.0,64.0,1.356049174345165,0.7991030724846502,-0.4687775442708396,5.8874573267179,2.4613906302399022,13.256552577018738
45,7523,453236,142.53627466034953,3032,0.15341436500707384,0.2985557687483375,0.0,0.9279999732971191,0.2154696132596685,57.10497237569061,14.682459472426881,8.0,64.0,1.3908054447553266,0.8662892474568862,-0.5459544298485307,6.99854411844527,2.939409708739749,11.72011911869049
46,7696,463303,144.67936797900512,3102,0.16784971056646006,0.31286307893915616,0.0,0.9549999833106995,0.23121387283236994,56.24277456647399,15.874836209288052,5.0,64.0,1.373414359145289,0.9387361518531709,-0.421699503610793,6.183495352376451,2.6563139999115304,11.807770609855652
47,7870,473371,145.0461544832324,3171,0.12991379252795515,0.2746277269658936,0.0,0.9369999766349792,0.1896551724137931,58.5,13.04137976622476,7.0,64.0,1.3837153455024207,1.0102083123435943,-0.21308678041597445,4.999488597328009,2.2728200676803985,9.676945447921753
48,8050,483433,144.3247221389756,3241,0.18632222364346188,0.3120994280822802,0.0,0.9459999799728394,0.2722222222222222,56.12222222222222,14.92077431545828,6.0,64.0,1.3661989534477001,1.1530902863401846,-0.6524411631839528,7.061621321690673,2.864707732954122,14.100074112415314
49,8226,493495,142.35669781201145,3312,0.14297727376899935,0.2918310156989146,0.0,0.9639999866485596,0.20454545454545456,57.75,14.89527838550922,4.0,64.0,1.3745253705476062,1.0032601216469197,-0.2791789348978239,5.29624652119416,2.3551990355110815,7.923928111791611
50,8404,503558,143.77933159390355,3382,0.15837640474351605,0.3058190681309236,0.0,0.9369999766349792,0.21910112359550563,56.7247191011236,15.478784181987825,7.0,64.0,1.4320046224805454,1.0574229329596407,-0.280717999649299,6.268490392711407,2.8392071114090602,9.765486717224121
51,8583,513619,143.39203092010206,3454,0.17818994462157095,0.31525112465709604,0.0,0.9549999833106995,0.25139664804469275,56.04469273743017,15.752208758504677,5.0,64.0,1.471326827718562,1.0490565822750326,-0.4506314743386859,6.000892720007953,2.535102088199483,10.700891613960266
52,8754,523687,144.14430253442896,3524,0.1403157897511421,0.27802916470350825,0.0,0.9190000295639038,0.21052631578947367,58.32748538011696,12.786062591770127,9.0,64.0,1.4665943110893773,1.0413432016607596,-0.30926444128867614,5.184400001578521,2.2682696142791516,9.714449346065521
53,8922,533759,145.8452398639995,3593,0.09394642870341029,0.23657862081532854,0.0,0.9100000262260437,0.14285714285714285,60.291666666666664,10.941595038390288,10.0,64.0,1.4648610856250888,0.9525849170823055,0.06664221115096682,3.8340995811470404,1.969043359006559,12.741586327552795
54,9103,543819,142.87293325772623,3663,0.1645635363146745,0.31023903256192153,0.0,0.9729999899864197,0.2265193370165746,56.386740331491715,15.63763136759931,3.0,64.0,1.4718423309667448,0.8893850439348467,-0.4311747308561271,5.633075821392283,2.3706449292526095,13.054521441459656
55,9281,553880,143.70942428704922,3733,0.19508988619520423,0.3240138043890283,0.0,0.9639999866485596,0.2752808988764045,55.29213483146067,16.08453947271218,4.0,64.0,1.4519264799216054,1.039964517439446,-0.6674702181048071,7.43631325453896,3.0361672945423543,12.627784252166748
56,9458,563940,143.0848287636046,3803,0.15015819163645727,0.3009592516306664,0.0,0.9549999833106995,0.20903954802259886,57.163841807909606,15.549492441363315,5.0,64.0,1.4482276416915074,1.0506751969367798,-0.24915227979184618,6.447643935461167,2.960187556302808,11.382995426654816
57,9639,573997,142.49037006284902,3874,0.2059502767923787,0.3300603217984881,0.0,0.9369999766349792,0.292817679558011,54.91160220994475,16.72603185551846,7.0,64.0,1.4404454596819978,1.2493247492502801,-0.5982876167796272,6.691464852081256,2.7330402011270136,10.799098372459412
58,9818,584058,143.70914336845337,3944,0.1625251398739202,0.3064944216827503,0.0,0.8740000128746033,0.22346368715083798,56.46927374301676,14.953294326147478,14.0,64.0,1.4492383414146122,1.116523685115029,-0.15889228187222246,5.073413891061117,2.3633221625428633,11.200175285339355
59,10007,594109,142.60987163513013,4015,0.20271428552254167,0.3285647200229156,0.0,0.9369999766349792,0.2857142857142857,54.93650793650794,16.42672330682974,7.0,64.0,1.4511096003802544,1.3755988989311858,-0.5880378558386702,8.087888512317488,3.4413949550651055,20.2581444978714
60,10183,604173,144.48086490910282,4084,0.21774431910704484,0.33133989072875936,0.0,0.9279999732971191,0.3125,54.52840909090909,16.27879580692484,8.0,64.0,1.461098244629907,1.4906645031536327,-0.4370892432704124,8.85366108355561,3.9751299204621673,24.192171812057495
61,10374,614222,142.30019558757775,4155,0.23106806300073393,0.34641156797270317,0.0,0.9459999799728394,0.3193717277486911,53.3717277486911,17.817076244867113,6.0,64.0,1.4675262872348769,1.7211856643694978,-0.4295258327053725,9.748756324062182,4.430176947410812,15.91821140050888
62,10551,624286,143.77132280007183,4225,0.16978531149821094,0.29487840975351126,0.0,0.9279999732971191,0.2598870056497175,57.378531073446325,13.595786655850675,8.0,64.0,1.4531561810943774,1.745290943378485,-0.11853492537451188,6.49911153583013,3.116489283041658,19.85445725917816
63,10737,634340,142.39335567744087,4295,0.22066666746652255,0.33705640324771113,0.0,0.9549999833106995,0.3118279569892473,54.17204301075269,17.00071070994714,5.0,64.0,1.4511447870069738,1.6942473421614712,-0.33721725754135995,7.962434361647109,3.629488409075368,16.543394207954407
64,10922,644396,143.42823561526583,4366,0.19282702787502393,0.3198064668744057,0.0,0.9369999766349792,0.2756756756756757,55.56216216216216,15.60864887328109,7.0,64.0,1.463446589623924,1.6917181657056726,-0.21950533384177168,8.050217469236921,3.7909692295411324,16.68190622329712
65,11104,654453,143.59620424750705,4436,0.23953846309866225,0.3372257655344219,0.0,0.8920000195503235,0.34615384615384615,53.69230769230769,16.328154278640426,12.0,64.0,1.4388026056083898,1.9159798542002602,-0.5351860375264251,8.104718196240336,3.5027849072785124,15.226389646530151
66,11290,664507,143.23013629447914,4506,0.24437096779064466,0.3419746374374473,0.0,0.9369999766349792,0.3548387096774194,53.564516129032256,17.35891296062259,7.0,64.0,1.4485563351616177,1.9605512679725892,-0.37092363661492656,9.15722605092212,4.193204207047568,20.14504361152649
67,11474,674563,144.0249769239648,4576,0.21802173846441766,0.3340542765485036,0.0,0.9639999866485596,0.30978260869565216,54.369565217391305,16.63790681814347,4.0,64.0,1.4212731852262097,1.9929120216278586,-0.05842523201233163,8.637594127907532,4.246158863877909,19.719132781028748
